gene	bias1	bias2	bias3	mean	SD
Sm_t00000001-RA	19.65	18.93	25.95	21.51	3.86196841002098
Sm_t00000002-RA	15.31	23.15	12.58	17.0133333333333	5.48700586233816
Sm_t00000005-RA	13.53	18.28	15.61	15.8066666666667	2.38109918595033
Sm_t00000008-RA	7.8	5.63	11.12	8.18333333333333	2.76500150693148
Sm_t00000018-RA	NA	35.29	13.33	24.31	15.5280649148566
Sm_t00000020-RA	13.5	21.74	24.75	19.9966666666667	5.82409077310213
Sm_t00000025-RA	39.93	39.42	32.96	37.4366666666667	3.88528420238897
Sm_t00000033-RA	39.37	38.23	36.68	38.0933333333333	1.35019751641504
Sm_t00000037-RA	44.14	45.4	47.98	45.84	1.95744731729873
Sm_t00000050-RA	75.82	68.62	73.2	72.5466666666667	3.64419172565513
Sm_t00000051-RA	9.65	10.76	12.89	11.1	1.64654183062563
Sm_t00000054-RA	11.1	18	12.74	13.9466666666667	3.60479310548238
Sm_t00000055-RA	65.82	63.97	61.23	63.6733333333333	2.30933612393981
Sm_t00000056-RA	19.47	24.56	18.15	20.7266666666667	3.38473534169709
Sm_t00000057-RA	9.99	8.41	15.04	11.1466666666667	3.46303816515691
Sm_t00000058-RA	36.78	28.96	23.69	29.81	6.58626601345558
Sm_t00000059-RA	43.55	37.41	31.06	37.34	6.24529422845713
Sm_t00000060-RA	25.86	22.17	12.86	20.2966666666667	6.69940544625666
Sm_t00000061-RA	12.98	10.21	17.17	13.4533333333333	3.50405955048332
Sm_t00000064-RA	19.2	16.23	27.54	20.99	5.86362515855166
Sm_t00000066-RA	37.5	45	5.71	29.4033333333333	20.8588837988358
Sm_t00000068-RA	11.16	13.61	13.03	12.6	1.28035151423349
Sm_t00000069-RA	11.07	18.42	23.14	17.5433333333333	6.08256798838561
Sm_t00000070-RA	24.85	41.13	NA	32.99	11.511698397717
Sm_t00000071-RA	44.72	38.44	37.78	40.3133333333333	3.83052650863211
Sm_t00000073-RA	60.57	57.03	48.21	55.27	6.36518656442998
Sm_t00000074-RA	27.08	30.63	NA	28.855	2.51022907321224
Sm_t00000075-RA	30.46	23.57	11.57	21.8666666666667	9.55949963823072
Sm_t00000076-RA	55.63	63.1	46.14	54.9566666666667	8.50002549015786
Sm_t00000077-RA	5.37	2.79	15.9	8.02	6.945134987889
Sm_t00000078-RA	17.8	18.06	17.12	17.66	0.485386443980463
Sm_t00000079-RA	42.73	55.06	51.94	49.91	6.41076438500122
Sm_t00000081-RA	13.53	16.11	10.42	13.3533333333333	2.84911097244971
Sm_t00000086-RA	36.08	27.1	36.39	33.19	5.2763718595262
Sm_t00000087-RA	75.11	77.14	70.76	74.3366666666667	3.25954495801689
Sm_t00000088-RA	42.67	31.44	44.74	39.6166666666667	7.15643999019997
Sm_t00000091-RA	13.55	14.41	23.8	17.2533333333333	5.68586258480922
Sm_t00000092-RA	22.41	19.26	18.58	20.0833333333333	2.04343664774158
Sm_t00000096-RA	4.02	3.43	7.65	5.03333333333333	2.28522063121558
Sm_t00000097-RA	25.38	27.48	27.28	26.7133333333333	1.15902257671425
Sm_t00000098-RA	22.89	20.8	26.52	23.4033333333333	2.894345061207
Sm_t00000099-RA	29.84	25.25	29.59	28.2266666666667	2.58089777661443
Sm_t00000100-RA	41.75	41.23	42	41.66	0.392810386828049
Sm_t00000103-RA	11.13	11.9	15.98	13.0033333333333	2.60645992360008
Sm_t00000104-RA	35.49	27.21	37.24	33.3133333333333	5.35757718874244
Sm_t00000105-RA	46.03	48.61	50.48	48.3733333333333	2.23442013357679
Sm_t00000106-RA	15.58	20.73	34.64	23.65	9.85980222925389
Sm_t00000107-RA	8.49	14.71	12.53	11.91	3.1560101394007
Sm_t00000108-RA	78.12	64.97	65.2	69.43	7.52663935631302
Sm_t00000111-RA	48.26	28.97	40.15	39.1266666666667	9.68563024967056
Sm_t00000117-RA	21.41	26.32	32.79	26.84	5.70779291845806
Sm_t00000118-RA	6.87	13.08	15.21	11.72	4.33313973926528
Sm_t00000119-RA	13.6	12.42	7.97	11.33	2.9690570893804
Sm_t00000121-RA	50.28	44.37	64	52.8833333333333	10.0706123613876
Sm_t00000127-RA	12.24	14.81	32.5	19.85	11.0303263777642
Sm_t00000129-RA	11.24	29.54	23.71	21.4966666666667	9.34861665345913
Sm_t00000131-RA	3.23	16.42	35.59	18.4133333333333	16.2718294402729
Sm_t00000133-RA	21.21	31.11	57.28	36.5333333333333	18.6365402726293
Sm_t00000134-RA	12.34	16.66	23.44	17.48	5.59524798378052
Sm_t00000135-RA	10.91	12.8	12.21	11.9733333333333	0.966971216393401
Sm_t00000137-RA	25.66	20.96	27.04	24.5533333333333	3.18749640522673
Sm_t00000138-RA	21.12	25.21	NA	23.165	2.89206673505298
Sm_t00000139-RA	12.32	14.78	16.95	14.6833333333333	2.31651318436424
Sm_t00000140-RA	20.4	30.55	31.14	27.3633333333333	6.03763474659848
Sm_t00000143-RA	41.46	41.89	33.88	39.0766666666667	4.50557802433088
Sm_t00000144-RA	25.32	30.13	21.2	25.55	4.46944068089062
Sm_t00000145-RA	43.94	40.54	42.33	42.27	1.70079393225634
Sm_t00000147-RA	21.9	17.44	10.77	16.7033333333333	5.60144921724131
Sm_t00000148-RA	17.43	21.48	24.71	21.2066666666667	3.64768876596309
Sm_t00000149-RA	59.74	47.97	27.41	45.04	16.362942889346
Sm_t00000150-RA	40.81	30.87	38.71	36.7966666666667	5.23894391393278
Sm_t00000151-RA	25.42	25.98	19.23	23.5433333333333	3.74593557517122
Sm_t00000155-RA	15.41	23.37	12.25	17.01	5.73006108169887
Sm_t00000156-RA	38.04	47.94	49.11	45.03	6.08171850713267
Sm_t00000157-RA	13	12.69	17.9	14.53	2.92261868877895
Sm_t00000159-RA	11.27	12.33	14.43	12.6766666666667	1.60827029237418
Sm_t00000164-RA	24.18	23.05	28.06	25.0966666666667	2.62778106647668
Sm_t00000165-RA	44.81	53.13	55.84	51.26	5.7478604715146
Sm_t00000166-RA	31.53	32.12	31.23	31.6266666666667	0.45280606591932
Sm_t00000170-RA	18.84	14.73	14.01	15.86	2.60574365584952
Sm_t00000175-RA	4.08	15.5	11.73	10.4366666666667	5.81881717648298
Sm_t00000177-RA	59.99	59.5	48	55.83	6.7854034515274
Sm_t00000178-RA	9.47	14.1	14.85	12.8066666666667	2.91386913455861
Sm_t00000179-RA	26.57	33.39	NA	29.98	4.82246824769225
Sm_t00000182-RA	18.34	31.21	29.39	26.3133333333333	6.96481394822097
Sm_t00000183-RA	15.8	13.84	18.46	16.0333333333333	2.3188215397769
Sm_t00000184-RA	23.26	20.74	25.36	23.12	2.31317962986016
Sm_t00000185-RA	10.55	10.13	13.46	11.38	1.8135324645564
Sm_t00000186-RA	10.3	11.62	14.97	12.2966666666667	2.40741216523746
Sm_t00000188-RA	26.57	20.4	27.91	24.96	4.00550870676872
Sm_t00000190-RA	20.53	18.89	19.57	19.6633333333333	0.82397410962562
Sm_t00000194-RA	17.68	17.48	16.39	17.1833333333333	0.694286204193438
Sm_t00000195-RA	2.5	9.73	27.25	13.16	12.7265195556366
Sm_t00000197-RA	37.27	43.46	42.86	41.1966666666667	3.41380042377016
Sm_t00000198-RA	23.3	40.09	24.05	29.1466666666667	9.4846208850609
Sm_t00000200-RA	29.21	25.79	16.64	23.88	6.4990230034983
Sm_t00000201-RA	29.55	34.96	31.72	32.0766666666667	2.72257843474405
Sm_t00000204-RA	57	56.76	53.14	55.6333333333333	2.162621865545
Sm_t00000205-RA	29.63	23.51	27.8	26.98	3.14132137801913
Sm_t00000206-RA	26.46	15.1	NA	20.78	8.03273303427918
Sm_t00000207-RA	47.87	47.48	NA	47.675	0.275771644662754
