Sm_t00000001-RA	adenylate/guanylate cyclase domain-containing protein	23.8	17.84	20.82	4.21435641587182
Sm_t00000002-RA	vesicle-fusing ATPase	26.82	18.36	22.59	5.98212336883819
Sm_t00000003-RA	predicted protein
Sm_t00000004-RA	predicted protein
Sm_t00000005-RA	crossover junction endonuclease Mus81
Sm_t00000006-RA	Sel1-like repeat family protein
Sm_t00000007-RA	Sel1-like repeat family protein
Sm_t00000008-RA	nonaspanin family protein	14.66	9.7	12.18	3.50724963468528
Sm_t00000009-RA	predicted protein
Sm_t00000010-RA	predicted protein
Sm_t00000011-RA	predicted protein
Sm_t00000012-RA	leucine-rich repeat protein
Sm_t00000013-RA	chitinase, chloroplastic
Sm_t00000015-RA	uric acid degradation bifunctional protein TTL
Sm_t00000016-RA	predicted protein
Sm_t00000017-RA	predicted protein
Sm_t00000018-RA	predicted protein	100	20.24	60.12	56.398836867439
Sm_t00000019-RA	predicted protein
Sm_t00000020-RA	predicted protein	30.51	26.22	28.365	3.03348809129029
Sm_t00000021-RA	predicted protein
Sm_t00000022-RA	Rossmann-fold NAD(P)-binding domain-containing protein, chloroplastic
Sm_t00000023-RA	predicted protein
Sm_t00000024-RA	predicted protein
Sm_t00000025-RA	aspartate-ammonia ligase, chloroplastic	35.38	35.75	35.565	0.261629509039021
Sm_t00000026-RA	predicted protein
Sm_t00000027-RA	predicted protein
Sm_t00000028-RA	Sel1-like repeat family protein
Sm_t00000029-RA	Sel1-like repeat family protein
Sm_t00000030-RA	predicted protein
Sm_t00000031-RA	TAPT1 family protein
Sm_t00000032-RA	predicted protein
Sm_t00000033-RA	predicted protein	24.03	26.08	25.055	1.44956890143242
Sm_t00000034-RA	predicted protein
Sm_t00000035-RA	predicted protein
Sm_t00000036-RA	predicted protein
Sm_t00000037-RA	predicted protein
Sm_t00000038-RA	MAP3K-like serine/threonine kinase
Sm_t00000039-RA	popeye family protein
Sm_t00000040-RA	predicted protein, chloroplastic
Sm_t00000041-RA	predicted protein
Sm_t00000042-RA	predicted protein
Sm_t00000043-RA	pyruvate carboxylase, mitochondrial
Sm_t00000044-RA	aconitate hydratase B
Sm_t00000045-RA	predicted protein
Sm_t00000046-RA	aconitate hydratase B, mitochondrial
Sm_t00000047-RA	predicted protein, mitochondrial
Sm_t00000048-RA	predicted protein
Sm_t00000049-RA	predicted protein
Sm_t00000050-RA	predicted protein
Sm_t00000051-RA	chitinase	12.88	14.53	13.705	1.1667261889578
Sm_t00000052-RA	predicted protein, chloroplastic
Sm_t00000053-RA	predicted protein
Sm_t00000054-RA	predicted protein	27.8	18.58	23.19	6.51952452253997
Sm_t00000055-RA	MFS transporter	50.49	65.91	58.2	10.9035865658966
Sm_t00000056-RA	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
Sm_t00000057-RA	predicted protein, partial	23.23	15.4	19.315	5.53664609669067
Sm_t00000058-RA	predicted protein, partial	25.42	27.29	26.355	1.32228968081884
Sm_t00000059-RA	glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	20.44	21.34	20.89	0.636396103067892
Sm_t00000060-RA	eukaryotic translation initiation factor 3 subunit C	37.36	36.09	36.725	0.898025612106913
Sm_t00000061-RA	60S ribosomal protein L10	19.21	13.29	16.25	4.18607214462436
Sm_t00000063-RA	methyltransferase, chloroplastic
Sm_t00000064-RA	serine/threonine-protein kinase	24.85	17.21	21.03	5.40229580826522
Sm_t00000065-RA	Yip1 family protein
Sm_t00000066-RA	40S ribosomal protein S19	20	14.81	17.405	3.66988419435818
Sm_t00000067-RA	predicted protein
Sm_t00000068-RA	predicted protein	24.2	15.5	19.85	6.15182899632296
Sm_t00000069-RA	digalactosyldiacylglycerol synthase	17.47	14.08	15.775	2.3970919882224
Sm_t00000070-RA	predicted protein
Sm_t00000071-RA	S-adenosylmethionine decarboxylase	44.05	47.08	45.565	2.14253354699524
Sm_t00000072-RA	predicted protein
Sm_t00000073-RA	protein-serine/threonine phosphatase, PP2C family
Sm_t00000074-RA	ubiquitin carboxyl-terminal hydrolase
Sm_t00000075-RA	D-3-phosphoglycerate dehydrogenase, mitochondrial	18.79	25.46	22.125	4.71640223051427
Sm_t00000076-RA	predicted protein	52.86	47.08	49.97	4.08707719525825
Sm_t00000077-RA	predicted protein	17.83	22.37	20.1	3.21026478658693
Sm_t00000078-RA	predicted protein	19.32	17.79	18.555	1.08187337521542
