gene	bias1	bias2	mean	SD
Sm_t00000001-RA	23.8	17.84	20.82	4.21435641587182
Sm_t00000002-RA	26.82	18.36	22.59	5.98212336883819
Sm_t00000008-RA	14.66	9.7	12.18	3.50724963468528
Sm_t00000018-RA	100	20.24	60.12	56.398836867439
Sm_t00000020-RA	30.51	26.22	28.365	3.03348809129029
Sm_t00000025-RA	35.38	35.75	35.565	0.261629509039021
Sm_t00000033-RA	24.03	26.08	25.055	1.44956890143242
Sm_t00000051-RA	12.88	14.53	13.705	1.1667261889578
Sm_t00000054-RA	27.8	18.58	23.19	6.51952452253997
Sm_t00000055-RA	50.49	65.91	58.2	10.9035865658966
Sm_t00000057-RA	23.23	15.4	19.315	5.53664609669067
Sm_t00000058-RA	25.42	27.29	26.355	1.32228968081884
Sm_t00000059-RA	20.44	21.34	20.89	0.636396103067892
Sm_t00000060-RA	37.36	36.09	36.725	0.898025612106913
Sm_t00000061-RA	19.21	13.29	16.25	4.18607214462436
Sm_t00000064-RA	24.85	17.21	21.03	5.40229580826522
Sm_t00000066-RA	20	14.81	17.405	3.66988419435818
Sm_t00000068-RA	24.2	15.5	19.85	6.15182899632296
Sm_t00000069-RA	17.47	14.08	15.775	2.3970919882224
Sm_t00000071-RA	44.05	47.08	45.565	2.14253354699524
Sm_t00000075-RA	18.79	25.46	22.125	4.71640223051427
Sm_t00000076-RA	52.86	47.08	49.97	4.08707719525825
Sm_t00000077-RA	17.83	22.37	20.1	3.21026478658693
Sm_t00000078-RA	19.32	17.79	18.555	1.08187337521542
Sm_t00000079-RA	34.19	45.17	39.68	7.76403245742829
Sm_t00000081-RA	15.88	16.37	16.125	0.346482322781408
Sm_t00000086-RA	54.38	45.55	49.965	6.24375287787722
Sm_t00000087-RA	69.67	76.12	72.895	4.56083873865323
Sm_t00000088-RA	56.84	34.24	45.54	15.980613254816
Sm_t00000091-RA	22.01	20.71	21.36	0.919238815542512
Sm_t00000092-RA	35.6	31.5	33.55	2.89913780286485
Sm_t00000096-RA	7.64	7.37	7.505	0.190918830920368
Sm_t00000097-RA	38.2	25.16	31.68	9.22067242667258
Sm_t00000098-RA	23.52	20.54	22.03	2.10717820793591
Sm_t00000099-RA	31.86	32.21	32.035	0.247487373415293
Sm_t00000100-RA	34.58	34.22	34.4	0.254558441227157
Sm_t00000103-RA	18.48	17.8	18.14	0.480832611206852
Sm_t00000104-RA	40.63	39.87	40.25	0.53740115370178
Sm_t00000105-RA	31.96	33.06	32.51	0.777817459305203
Sm_t00000106-RA	42.44	41.29	41.865	0.813172798364529
Sm_t00000107-RA	15.41	15.25	15.33	0.113137084989848
Sm_t00000111-RA	52.96	50.81	51.885	1.52027957955108
Sm_t00000117-RA	23.78	18.28	21.03	3.88908729652601
Sm_t00000118-RA	30.07	23.56	26.815	4.60326514552443
Sm_t00000119-RA	27.31	13.37	20.34	9.85706852974047
Sm_t00000127-RA	37.31	4.08	20.695	23.497158338829
Sm_t00000129-RA	31.21	32.3	31.755	0.770746391493334
Sm_t00000131-RA	40	16.67	28.335	16.4968012050822
Sm_t00000133-RA	30.43	37.5	33.965	4.99924494298889
