GO.ID	Term	Annotated	Significant	Expected	classic
GO:0031330	negative regulation of cellular cataboli...	56	6	1.18	0.0010
GO:0006614	SRP-dependent cotranslational protein ta...	61	6	1.29	0.0016
GO:0009895	negative regulation of catabolic process	61	6	1.29	0.0016
GO:0006613	cotranslational protein targeting to mem...	63	6	1.33	0.0019
GO:0044270	cellular nitrogen compound catabolic pro...	257	13	5.44	0.0023
GO:0019439	aromatic compound catabolic process	259	13	5.48	0.0025
GO:0046700	heterocycle catabolic process	259	13	5.48	0.0025
GO:1903312	negative regulation of mRNA metabolic pr...	15	3	0.32	0.0034
GO:0018105	peptidyl-serine phosphorylation	71	6	1.5	0.0035
GO:0034655	nucleobase-containing compound catabolic...	238	12	5.03	0.0036
GO:1901361	organic cyclic compound catabolic proces...	272	13	5.75	0.0038
GO:0097421	liver regeneration	16	3	0.34	0.0042
GO:0045047	protein targeting to ER	74	6	1.57	0.0043
GO:0072599	establishment of protein localization to...	76	6	1.61	0.0049
GO:0006401	RNA catabolic process	158	9	3.34	0.0054
GO:0070972	protein localization to endoplasmic reti...	81	6	1.71	0.0067
GO:0051187	cofactor catabolic process	37	4	0.78	0.0071
GO:0018209	peptidyl-serine modification	84	6	1.78	0.0080
GO:0006402	mRNA catabolic process	139	8	2.94	0.0082
GO:0034976	response to endoplasmic reticulum stress	140	8	2.96	0.0086
GO:0032675	regulation of interleukin-6 production	7	2	0.15	0.0086
GO:0050900	leukocyte migration	21	3	0.44	0.0092
GO:0006612	protein targeting to membrane	89	6	1.88	0.0105
GO:0006691	leukotriene metabolic process	8	2	0.17	0.0114
GO:0044351	macropinocytosis	8	2	0.17	0.0114
GO:0048010	vascular endothelial growth factor recep...	8	2	0.17	0.0114
GO:0030433	ubiquitin-dependent ERAD pathway	67	5	1.42	0.0128
GO:0000305	response to oxygen radical	9	2	0.19	0.0144
GO:0001936	regulation of endothelial cell prolifera...	9	2	0.19	0.0144
GO:0010032	meiotic chromosome condensation	9	2	0.19	0.0144
GO:0032635	interleukin-6 production	9	2	0.19	0.0144
GO:0035924	cellular response to vascular endothelia...	9	2	0.19	0.0144
GO:0070935	3'-UTR-mediated mRNA stabilization	9	2	0.19	0.0144
GO:0044248	cellular catabolic process	744	24	15.74	0.0148
GO:0040011	locomotion	252	11	5.33	0.0152
GO:0035556	intracellular signal transduction	322	13	6.81	0.0155
GO:0051656	establishment of organelle localization	158	8	3.34	0.0170
GO:0042744	hydrogen peroxide catabolic process	10	2	0.21	0.0178
GO:0048255	mRNA stabilization	10	2	0.21	0.0178
GO:1902373	negative regulation of mRNA catabolic pr...	10	2	0.21	0.0178
GO:0031100	animal organ regeneration	27	3	0.57	0.0184
GO:0044265	cellular macromolecule catabolic process	404	15	8.54	0.0190
