      1 GO:0000002	mitochondrial genome maintenance
      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0000049	tRNA binding
      1 GO:0000054	ribosomal subunit export from nucleus
      1 GO:0000055	ribosomal large subunit export from nucleus
      1 GO:0000060	obsolete protein import into nucleus, translocation
      1 GO:0000096	sulfur amino acid metabolic process
      1 GO:0000098	sulfur amino acid catabolic process
      1 GO:0000128	flocculation
      1 GO:0000131	incipient cellular bud site
      1 GO:0000132	establishment of mitotic spindle orientation
      1 GO:0000138	Golgi trans cisterna
      1 GO:0000149	SNARE binding
      1 GO:0000154	rRNA modification
      1 GO:0000245	spliceosomal complex assembly
      1 GO:0000271	polysaccharide biosynthetic process
      1 GO:0000282	cellular bud site selection
      1 GO:0000287	magnesium ion binding
      1 GO:0000303	response to superoxide
      1 GO:0000329	fungal-type vacuole membrane
      1 GO:0000372	Group I intron splicing
      1 GO:0000373	Group II intron splicing
      1 GO:0000376	RNA splicing, via transesterification reactions with guanosine as nucleophile
      1 GO:0000384	first spliceosomal transesterification activity
      1 GO:0000395	mRNA 5'-splice site recognition
      1 GO:0000398	mRNA splicing, via spliceosome
      1 GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter
      1 GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose
      1 GO:0000433	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose
      1 GO:0000451	rRNA 2'-O-methylation
      1 GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000502	proteasome complex
      1 GO:0000731	DNA synthesis involved in DNA repair
      1 GO:0000746	conjugation
      1 GO:0000747	conjugation with cellular fusion
      1 GO:0000755	cytogamy
      1 GO:0000775	chromosome, centromeric region
      1 GO:0000776	kinetochore
      1 GO:0000792	heterochromatin
      1 GO:0000795	synaptonemal complex
      1 GO:0000796	condensin complex
      1 GO:0000799	nuclear condensin complex
      1 GO:0000800	lateral element
      1 GO:0000801	central element
      1 GO:0000917	division septum assembly
      1 GO:0000938	GARP complex
      1 GO:0000963	mitochondrial RNA processing
      1 GO:0000976	transcription regulatory region sequence-specific DNA binding
      1 GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
      1 GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
      1 GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
      1 GO:0000987	cis-regulatory region sequence-specific DNA binding
      1 GO:0000988	obsolete transcription factor activity, protein binding
      1 GO:0000989	obsolete transcription factor activity, transcription factor binding
      1 GO:0001076	obsolete transcription factor activity, RNA polymerase II transcription factor binding
      1 GO:0001085	RNA polymerase II transcription factor binding
      1 GO:0001103	RNA polymerase II repressing transcription factor binding
      1 GO:0001191	obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding
      1 GO:0001196	regulation of mating-type specific transcription from RNA polymerase II promoter
      1 GO:0001198	negative regulation of mating-type specific transcription from RNA polymerase II promoter
      1 GO:0001510	RNA methylation
      1 GO:0001525	angiogenesis
      1 GO:0001568	blood vessel development
      1 GO:0001654	eye development
      1 GO:0001666	response to hypoxia
      1 GO:0001704	formation of primary germ layer
      1 GO:0001707	mesoderm formation
      1 GO:0001745	compound eye morphogenesis
      1 GO:0001763	morphogenesis of a branching structure
      1 GO:0001818	negative regulation of cytokine production
      1 GO:0001819	positive regulation of cytokine production
      1 GO:0001887	selenium compound metabolic process
      1 GO:0001890	placenta development
      1 GO:0001906	cell killing
      1 GO:0001935	endothelial cell proliferation
      1 GO:0001937	negative regulation of endothelial cell proliferation
      1 GO:0001938	positive regulation of endothelial cell proliferation
      1 GO:0001944	vasculature development
      1 GO:0002020	protease binding
      1 GO:0002039	p53 binding
      1 GO:0002064	epithelial cell development
      1 GO:0002065	columnar/cuboidal epithelial cell differentiation
      1 GO:0002066	columnar/cuboidal epithelial cell development
      1 GO:0002119	nematode larval development
      1 GO:0002164	larval development
      1 GO:0002184	cytoplasmic translational termination
      1 GO:0002246	wound healing involved in inflammatory response
      1 GO:0002251	organ or tissue specific immune response
      1 GO:0002252	immune effector process
      1 GO:0002262	myeloid cell homeostasis
      1 GO:0002263	cell activation involved in immune response
      1 GO:0002274	myeloid leukocyte activation
      1 GO:0002275	myeloid cell activation involved in immune response
      1 GO:0002283	neutrophil activation involved in immune response
      1 GO:0002366	leukocyte activation involved in immune response
      1 GO:0002377	immunoglobulin production
      1 GO:0002385	mucosal immune response
      1 GO:0002440	production of molecular mediator of immune response
      1 GO:0002443	leukocyte mediated immunity
      1 GO:0002444	myeloid leukocyte mediated immunity
      1 GO:0002446	neutrophil mediated immunity
      1 GO:0002520	immune system development
      1 GO:0002521	leukocyte differentiation
      1 GO:0002685	regulation of leukocyte migration
      1 GO:0002686	negative regulation of leukocyte migration
      1 GO:0002694	regulation of leukocyte activation
      1 GO:0002695	negative regulation of leukocyte activation
      1 GO:0002697	regulation of immune effector process
      1 GO:0002698	negative regulation of immune effector process
      1 GO:0002699	positive regulation of immune effector process
      1 GO:0002700	regulation of production of molecular mediator of immune response
      1 GO:0002701	negative regulation of production of molecular mediator of immune response
      1 GO:0002703	regulation of leukocyte mediated immunity
      1 GO:0002704	negative regulation of leukocyte mediated immunity
      1 GO:0002718	regulation of cytokine production involved in immune response
      1 GO:0002719	negative regulation of cytokine production involved in immune response
      1 GO:0002790	peptide secretion
      1 GO:0002791	regulation of peptide secretion
      1 GO:0002793	positive regulation of peptide secretion
      1 GO:0002886	regulation of myeloid leukocyte mediated immunity
      1 GO:0002887	negative regulation of myeloid leukocyte mediated immunity
      1 GO:0003008	system process
      1 GO:0003012	muscle system process
      1 GO:0003013	circulatory system process
      1 GO:0003018	vascular process in circulatory system
      1 GO:0003333	amino acid transmembrane transport
      1 GO:0003341	cilium movement
      1 GO:0003351	epithelial cilium movement involved in extracellular fluid movement
      1 GO:0003682	chromatin binding
      1 GO:0003690	double-stranded DNA binding
      1 GO:0003714	transcription corepressor activity
      1 GO:0003725	double-stranded RNA binding
      1 GO:0003727	single-stranded RNA binding
      1 GO:0003747	translation release factor activity
      1 GO:0003756	protein disulfide isomerase activity
      1 GO:0003978	UDP-glucose 4-epimerase activity
      1 GO:0004016	adenylate cyclase activity
      1 GO:0004130	cytochrome-c peroxidase activity
      1 GO:0004140	dephospho-CoA kinase activity
      1 GO:0004159	dihydrouracil dehydrogenase (NAD+) activity
      1 GO:0004175	endopeptidase activity
      1 GO:0004222	metalloendopeptidase activity
      1 GO:0004383	guanylate cyclase activity
      1 GO:0004392	heme oxygenase (decyclizing) activity
      1 GO:0004427	inorganic diphosphatase activity
      1 GO:0004496	mevalonate kinase activity
      1 GO:0004523	RNA-DNA hybrid ribonuclease activity
      1 GO:0004527	exonuclease activity
      1 GO:0004551	nucleotide diphosphatase activity
      1 GO:0004595	pantetheine-phosphate adenylyltransferase activity
      1 GO:0004602	glutathione peroxidase activity
      1 GO:0004615	phosphomannomutase activity
      1 GO:0004620	phospholipase activity
      1 GO:0004630	phospholipase D activity
      1 GO:0004675	transmembrane receptor protein serine/threonine kinase activity
      1 GO:0004791	thioredoxin-disulfide reductase activity
      1 GO:0004812	aminoacyl-tRNA ligase activity
      1 GO:0004819	glutamine-tRNA ligase activity
      1 GO:0004843	thiol-dependent ubiquitin-specific protease activity
      1 GO:0004857	enzyme inhibitor activity
      1 GO:0004888	transmembrane signaling receptor activity
      1 GO:0005085	guanyl-nucleotide exchange factor activity
      1 GO:0005086	ARF guanyl-nucleotide exchange factor activity
      1 GO:0005096	GTPase activator activity
      1 GO:0005125	cytokine activity
      1 GO:0005216	ion channel activity
      1 GO:0005244	voltage-gated ion channel activity
      1 GO:0005247	voltage-gated chloride channel activity
      1 GO:0005253	anion channel activity
      1 GO:0005254	chloride channel activity
      1 GO:0005342	organic acid transmembrane transporter activity
      1 GO:0005507	copper ion binding
      1 GO:0005509	calcium ion binding
      1 GO:0005543	phospholipid binding
      1 GO:0005618	cell wall
      1 GO:0005682	U5 snRNP
      1 GO:0005721	pericentric heterochromatin
      1 GO:0005741	mitochondrial outer membrane
      1 GO:0005777	peroxisome
      1 GO:0005784	Sec61 translocon complex
      1 GO:0005797	Golgi medial cisterna
      1 GO:0005811	lipid droplet
      1 GO:0005814	centriole
      1 GO:0005819	spindle
      1 GO:0005852	eukaryotic translation initiation factor 3 complex
      1 GO:0005875	microtubule associated complex
      1 GO:0005901	caveola
      1 GO:0005933	cellular bud
      1 GO:0005934	cellular bud tip
      1 GO:0005935	cellular bud neck
      1 GO:0005937	mating projection
      1 GO:0005976	polysaccharide metabolic process
      1 GO:0006066	alcohol metabolic process
      1 GO:0006073	cellular glucan metabolic process
      1 GO:0006084	acetyl-CoA metabolic process
      1 GO:0006109	regulation of carbohydrate metabolic process
      1 GO:0006171	cAMP biosynthetic process
      1 GO:0006182	cGMP biosynthetic process
      1 GO:0006195	purine nucleotide catabolic process
      1 GO:0006203	dGTP catabolic process
      1 GO:0006261	DNA-dependent DNA replication
      1 GO:0006271	DNA strand elongation involved in DNA replication
      1 GO:0006273	lagging strand elongation
      1 GO:0006298	mismatch repair
      1 GO:0006301	postreplication repair
      1 GO:0006302	double-strand break repair
      1 GO:0006310	DNA recombination
      1 GO:0006333	chromatin assembly or disassembly
      1 GO:0006338	chromatin remodeling
      1 GO:0006354	DNA-templated transcription, elongation
      1 GO:0006376	mRNA splice site selection
      1 GO:0006392	transcription elongation from mitochondrial promoter
      1 GO:0006399	tRNA metabolic process
      1 GO:0006403	RNA localization
      1 GO:0006405	RNA export from nucleus
      1 GO:0006415	translational termination
      1 GO:0006418	tRNA aminoacylation for protein translation
      1 GO:0006425	glutaminyl-tRNA aminoacylation
      1 GO:0006448	regulation of translational elongation
      1 GO:0006486	protein glycosylation
      1 GO:0006487	protein N-linked glycosylation
      1 GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
      1 GO:0006570	tyrosine metabolic process
      1 GO:0006571	tyrosine biosynthetic process
      1 GO:0006590	thyroid hormone generation
      1 GO:0006606	protein import into nucleus
      1 GO:0006611	protein export from nucleus
      1 GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation
      1 GO:0006620	posttranslational protein targeting to endoplasmic reticulum membrane
      1 GO:0006631	fatty acid metabolic process
      1 GO:0006637	acyl-CoA metabolic process
      1 GO:0006643	membrane lipid metabolic process
      1 GO:0006664	glycolipid metabolic process
      1 GO:0006694	steroid biosynthetic process
