      1 GO:0000019	regulation of mitotic recombination
      1 GO:0000038	very long-chain fatty acid metabolic process
      1 GO:0000048	peptidyltransferase activity
      1 GO:0000050	urea cycle
      1 GO:0000052	citrulline metabolic process
      1 GO:0000056	ribosomal small subunit export from nucleus
      1 GO:0000062	fatty-acyl-CoA binding
      1 GO:0000064	L-ornithine transmembrane transporter activity
      1 GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
      1 GO:0000104	succinate dehydrogenase activity
      1 GO:0000107	imidazoleglycerol-phosphate synthase activity
      1 GO:0000118	histone deacetylase complex
      1 GO:0000120	RNA polymerase I transcription regulator complex
      1 GO:0000124	SAGA complex
      1 GO:0000125	PCAF complex
      1 GO:0000126	transcription factor TFIIIB complex
      1 GO:0000128	flocculation
      1 GO:0000145	exocyst
      1 GO:0000146	microfilament motor activity
      1 GO:0000164	protein phosphatase type 1 complex
      1 GO:0000170	sphingosine hydroxylase activity
      1 GO:0000172	ribonuclease MRP complex
      1 GO:0000182	rDNA binding
      1 GO:0000214	tRNA-intron endonuclease complex
      1 GO:0000217	DNA secondary structure binding
      1 GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
      1 GO:0000235	astral microtubule
      1 GO:0000250	lanosterol synthase activity
      1 GO:0000268	peroxisome targeting sequence binding
      1 GO:0000272	polysaccharide catabolic process
      1 GO:0000282	cellular bud site selection
      1 GO:0000293	ferric-chelate reductase activity
      1 GO:0000294	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
      1 GO:0000296	spermine transport
      1 GO:0000298	endopolyphosphatase activity
      1 GO:0000306	extrinsic component of vacuolar membrane
      1 GO:0000307	cyclin-dependent protein kinase holoenzyme complex
      1 GO:0000312	plastid small ribosomal subunit
      1 GO:0000373	Group II intron splicing
      1 GO:0000378	RNA exon ligation
      1 GO:0000380	alternative mRNA splicing, via spliceosome
      1 GO:0000387	spliceosomal snRNP assembly
      1 GO:0000390	spliceosomal complex disassembly
      1 GO:0000395	mRNA 5'-splice site recognition
      1 GO:0000399	cellular bud neck septin structure
      1 GO:0000408	EKC/KEOPS complex
      1 GO:0000414	regulation of histone H3-K36 methylation
      1 GO:0000418	RNA polymerase IV complex
      1 GO:0000419	RNA polymerase V complex
      1 GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000500	RNA polymerase I upstream activating factor complex
      1 GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
      1 GO:0000712	resolution of meiotic recombination intermediates
      1 GO:0000722	telomere maintenance via recombination
      1 GO:0000733	DNA strand renaturation
      1 GO:0000734	gene conversion at mating-type locus, DNA repair synthesis
      1 GO:0000742	karyogamy involved in conjugation with cellular fusion
      1 GO:0000746	conjugation
      1 GO:0000747	conjugation with cellular fusion
      1 GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion
      1 GO:0000754	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
      1 GO:0000774	adenyl-nucleotide exchange factor activity
      1 GO:0000782	telomere cap complex
      1 GO:0000783	nuclear telomere cap complex
      1 GO:0000798	nuclear cohesin complex
      1 GO:0000803	sex chromosome
      1 GO:0000812	Swr1 complex
      1 GO:0000835	ER ubiquitin ligase complex
      1 GO:0000836	Hrd1p ubiquitin ligase complex
      1 GO:0000837	Doa10p ubiquitin ligase complex
      1 GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
      1 GO:0000900	translation repressor activity, mRNA regulatory element binding
      1 GO:0000903	obsolete regulation of cell shape during vegetative growth phase
      1 GO:0000921	septin ring assembly
      1 GO:0000930	gamma-tubulin complex
      1 GO:0000931	gamma-tubulin large complex
      1 GO:0000939	condensed chromosome inner kinetochore
      1 GO:0000941	condensed nuclear chromosome inner kinetochore
      1 GO:0000964	mitochondrial RNA 5'-end processing
      1 GO:0000965	mitochondrial RNA 3'-end processing
      1 GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
      1 GO:0000992	RNA polymerase III cis-regulatory region sequence-specific DNA binding
      1 GO:0000994	RNA polymerase III core binding
      1 GO:0000995	RNA polymerase III general transcription initiation factor activity
      1 GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding
      1 GO:0001016	RNA polymerase III transcription regulatory region sequence-specific DNA binding
      1 GO:0001025	RNA polymerase III general transcription initiation factor binding
      1 GO:0001046	core promoter sequence-specific DNA binding
      1 GO:0001100	negative regulation of exit from mitosis
      1 GO:0001103	RNA polymerase II repressing transcription factor binding
      1 GO:0001139	RNA polymerase II complex recruiting activity
      1 GO:0001156	TFIIIC-class transcription factor complex binding
      1 GO:0001173	DNA-templated transcriptional start site selection
      1 GO:0001174	transcriptional start site selection at RNA polymerase II promoter
      1 GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
      1 GO:0001300	chronological cell aging
      1 GO:0001306	age-dependent response to oxidative stress
      1 GO:0001315	age-dependent response to reactive oxygen species
      1 GO:0001316	age-dependent response to reactive oxygen species involved in replicative cell aging
      1 GO:0001317	accumulation of oxidatively modified proteins involved in replicative cell aging
      1 GO:0001319	inheritance of oxidatively modified proteins involved in replicative cell aging
      1 GO:0001321	age-dependent general metabolic decline involved in replicative cell aging
      1 GO:0001322	age-dependent response to oxidative stress involved in replicative cell aging
      1 GO:0001400	mating projection base
      1 GO:0001401	SAM complex
      1 GO:0001408	guanine nucleotide transport
      1 GO:0001409	guanine nucleotide transmembrane transporter activity
      1 GO:0001411	hyphal tip
      1 GO:0001530	lipopolysaccharide binding
      1 GO:0001540	amyloid-beta binding
      1 GO:0001546	preantral ovarian follicle growth
      1 GO:0001547	antral ovarian follicle growth
      1 GO:0001553	luteinization
      1 GO:0001659	temperature homeostasis
      1 GO:0001662	behavioral fear response
      1 GO:0001702	gastrulation with mouth forming second
      1 GO:0001704	formation of primary germ layer
      1 GO:0001707	mesoderm formation
      1 GO:0001709	cell fate determination
      1 GO:0001725	stress fiber
      1 GO:0001736	establishment of planar polarity
      1 GO:0001737	establishment of imaginal disc-derived wing hair orientation
      1 GO:0001738	morphogenesis of a polarized epithelium
      1 GO:0001739	sex chromatin
      1 GO:0001755	neural crest cell migration
      1 GO:0001763	morphogenesis of a branching structure
      1 GO:0001772	immunological synapse
      1 GO:0001829	trophectodermal cell differentiation
      1 GO:0001836	release of cytochrome c from mitochondria
      1 GO:0001838	embryonic epithelial tube formation
      1 GO:0001841	neural tube formation
      1 GO:0001843	neural tube closure
      1 GO:0001845	phagolysosome assembly
      1 GO:0001881	receptor recycling
      1 GO:0001890	placenta development
      1 GO:0001894	tissue homeostasis
      1 GO:0001910	regulation of leukocyte mediated cytotoxicity
      1 GO:0001912	positive regulation of leukocyte mediated cytotoxicity
      1 GO:0001914	regulation of T cell mediated cytotoxicity
      1 GO:0001916	positive regulation of T cell mediated cytotoxicity
      1 GO:0001917	photoreceptor inner segment
      1 GO:0001927	exocyst assembly
      1 GO:0001931	uropod
      1 GO:0001937	negative regulation of endothelial cell proliferation
      1 GO:0001942	hair follicle development
      1 GO:0001952	regulation of cell-matrix adhesion
      1 GO:0001953	negative regulation of cell-matrix adhesion
      1 GO:0001958	endochondral ossification
      1 GO:0001974	blood vessel remodeling
      1 GO:0002028	regulation of sodium ion transport
      1 GO:0002029	desensitization of G protein-coupled receptor signaling pathway
      1 GO:0002031	G protein-coupled receptor internalization
