%namespace	term_ID	description	frequency	plot_X	plot_Y	plot_size	log10_p-value	uniqueness	dispensability	representative	eliminated
Biological_Process	GO:0008299	isoprenoid_biosynthetic_process	0.463%	-0.616	 4.481	5.362	-3.4318	0.782	0.000	GO:0008299	0
Biological_Process	GO:0051085	chaperone_mediated_protein_folding_requiring_cofactor	0.013%	 2.307	 2.171	3.815	-3.4202	0.915	0.044	GO:0051085	0
Biological_Process	GO:0071705	nitrogen_compound_transport	2.072%	-5.296	-4.443	6.013	-3.2840	0.888	0.000	GO:0071705	0
Biological_Process	GO:0040018	positive_regulation_of_multicellular_organism_growth	0.003%	 5.261	-3.985	3.124	-3.2218	0.747	0.036	GO:0040018	0
Biological_Process	GO:0016246	RNA_interference	0.005%	 6.802	-3.107	3.357	-3.0915	0.806	0.161	GO:0016246	0
Biological_Process	GO:0051179	localization	17.864%	-1.145	-0.552	6.949	-3.0757	0.995	0.000	GO:0051179	0
Biological_Process	GO:0007568	aging	0.013%	 0.391	-0.556	3.798	-3.0177	0.886	0.040	GO:0007568	0
Biological_Process	GO:0008340	determination_of_adult_lifespan	0.002%	null	null	2.997	-3.0044	0.865	0.845	GO:0010259	1
Biological_Process	GO:0006886	intracellular_protein_transport	0.521%	null	null	5.413	-2.9872	0.803	0.855	GO:0015031	1
Biological_Process	GO:0006810	transport	17.382%	-5.378	-4.671	6.937	-2.9586	0.860	0.579	GO:0006810	0
Biological_Process	GO:0071702	organic_substance_transport	5.487%	-5.438	-4.619	6.436	-2.9318	0.877	0.619	GO:0071702	0
Biological_Process	GO:0000290	deadenylation-dependent_decapping_of_nuclear-transcribed_mRNA	0.002%	 1.683	 4.191	2.883	-2.8962	0.868	0.524	GO:0000290	0
Biological_Process	GO:0051084	'de_novo'_posttranslational_protein_folding	0.013%	null	null	3.825	-2.8962	0.915	0.998	GO:0051085	1
Biological_Process	GO:0042026	protein_refolding	0.070%	 2.305	 2.190	4.542	-2.8928	0.910	0.581	GO:0042026	0
Biological_Process	GO:0051234	establishment_of_localization	17.470%	null	null	6.939	-2.8794	0.862	0.810	GO:0006810	1
Biological_Process	GO:0015833	peptide_transport	0.308%	-5.779	-4.658	5.186	-2.8182	0.838	0.299	GO:0015833	0
Biological_Process	GO:0010259	multicellular_organismal_aging	0.003%	 0.778	-0.719	3.170	-2.8125	0.863	0.462	GO:0010259	0
Biological_Process	GO:0030727	germarium-derived_female_germ-line_cyst_formation	0.000%	 1.616	-1.432	1.903	-2.7852	0.831	0.402	GO:0030727	0
Biological_Process	GO:0048134	germ-line_cyst_formation	0.000%	 1.626	-1.440	1.987	-2.7852	0.834	0.662	GO:0048134	0
Biological_Process	GO:0048135	female_germ-line_cyst_formation	0.000%	null	null	1.908	-2.7852	0.832	0.986	GO:0030727	1
Biological_Process	GO:0015031	protein_transport	1.595%	-5.351	-4.709	5.900	-2.7825	0.830	0.553	GO:0015031	0
Biological_Process	GO:0042886	amide_transport	0.351%	-5.832	-4.722	5.242	-2.7825	0.845	0.664	GO:0042886	0
Biological_Process	GO:0006892	post-Golgi_vesicle-mediated_transport	0.005%	-4.839	-4.296	3.433	-2.7144	0.839	0.211	GO:0006892	0
Biological_Process	GO:0090559	regulation_of_membrane_permeability	0.003%	 4.858	-4.594	3.109	-2.6946	0.889	0.153	GO:0090559	0
Biological_Process	GO:0006401	RNA_catabolic_process	0.274%	 2.126	 6.023	5.135	-2.6799	0.859	0.121	GO:0006401	0
Biological_Process	GO:0006720	isoprenoid_metabolic_process	0.466%	-1.915	 2.063	5.365	-2.6478	0.829	0.664	GO:0006720	0
Biological_Process	GO:0045840	positive_regulation_of_mitosis	0.002%	 6.028	-4.078	3.041	-2.6478	0.686	0.466	GO:0045840	0
Biological_Process	GO:0016071	mRNA_metabolic_process	0.494%	 1.816	 4.009	5.391	-2.6144	0.886	0.306	GO:0016071	0
Biological_Process	GO:0017148	negative_regulation_of_translation	0.046%	 7.306	-1.696	4.363	-2.6003	0.770	0.588	GO:0017148	0
Biological_Process	GO:0048639	positive_regulation_of_developmental_growth	0.003%	null	null	3.203	-2.5901	0.745	0.875	GO:0040018	1
Biological_Process	GO:0006402	mRNA_catabolic_process	0.113%	null	null	4.752	-2.5867	0.852	0.702	GO:0006401	1
Biological_Process	GO:0006839	mitochondrial_transport	0.023%	-4.983	-4.458	4.058	-2.5591	0.827	0.589	GO:0006839	0
Biological_Process	GO:0045184	establishment_of_protein_localization	1.680%	null	null	5.922	-2.5498	0.841	0.972	GO:0015031	1
Biological_Process	GO:0006605	protein_targeting	0.380%	null	null	5.277	-2.5346	0.767	0.918	GO:0015031	1
Biological_Process	GO:0072594	establishment_of_protein_localization_to_organelle	0.153%	null	null	4.882	-2.5302	0.830	0.757	GO:0015031	1
Biological_Process	GO:0001112	DNA-templated_transcriptional_open_complex_formation	0.000%	 1.706	 2.627	1.079	-2.5017	0.851	0.162	GO:0001112	0
Biological_Process	GO:0001120	protein-DNA_complex_remodeling	0.000%	null	null	1.079	-2.5017	0.932	0.740	GO:0001112	1
Biological_Process	GO:0006109	regulation_of_carbohydrate_metabolic_process	0.056%	 6.053	-4.286	4.441	-2.4949	0.846	0.235	GO:0006109	0
Biological_Process	GO:0055085	transmembrane_transport	9.397%	-6.307	-4.177	6.670	-2.4377	0.777	0.700	GO:0055085	0
Biological_Process	GO:0051301	cell_division	1.357%	-1.485	-0.465	5.829	-2.3904	0.908	0.104	GO:0051301	0
Biological_Process	GO:0034220	ion_transmembrane_transport	3.995%	-5.975	-4.386	6.298	-2.3820	0.779	0.407	GO:0034220	0
Biological_Process	GO:0042552	myelination	0.006%	 4.654	-4.088	3.503	-2.3595	0.751	0.533	GO:0042552	0
Biological_Process	GO:0051649	establishment_of_localization_in_cell	1.489%	null	null	5.870	-2.3478	0.827	0.757	GO:0015031	1
Biological_Process	GO:0034249	negative_regulation_of_cellular_amide_metabolic_process	0.000%	 5.358	-4.128	2.286	-2.3307	0.848	0.416	GO:0034249	0
Biological_Process	GO:0034035	purine_ribonucleoside_bisphosphate_metabolic_process	0.094%	-0.965	 4.352	4.669	-2.3197	0.842	0.131	GO:0034035	0
Biological_Process	GO:0034036	purine_ribonucleoside_bisphosphate_biosynthetic_process	0.006%	-0.156	 5.223	3.491	-2.3197	0.831	0.687	GO:0034036	0
Biological_Process	GO:0050427	3'-phosphoadenosine_5'-phosphosulfate_metabolic_process	0.000%	-2.273	 5.035	1.964	-2.3197	0.873	0.567	GO:0050427	0
Biological_Process	GO:0050428	3'-phosphoadenosine_5'-phosphosulfate_biosynthetic_process	0.000%	-0.947	 6.773	1.663	-2.3197	0.850	0.548	GO:0050428	0
Biological_Process	GO:0006081	cellular_aldehyde_metabolic_process	0.465%	-2.136	-0.323	5.365	-2.2916	0.898	0.105	GO:0006081	0
Biological_Process	GO:0006415	translational_termination	0.178%	 3.945	 4.417	4.947	-2.2916	0.771	0.473	GO:0006415	0
Biological_Process	GO:0043902	positive_regulation_of_multi-organism_process	0.004%	 6.055	-5.168	3.276	-2.2874	0.815	0.478	GO:0043902	0
Biological_Process	GO:0008104	protein_localization	1.716%	null	null	5.931	-2.2351	0.844	0.939	GO:0015031	1
Biological_Process	GO:0046907	intracellular_transport	0.739%	null	null	5.566	-2.2299	0.835	0.887	GO:0015031	1
Biological_Process	GO:0006412	translation	4.698%	 3.966	 5.402	6.369	-2.2190	0.850	0.370	GO:0006412	0
Biological_Process	GO:0046903	secretion	0.627%	-5.965	-4.873	5.494	-2.1952	0.851	0.437	GO:0046903	0
Biological_Process	GO:0051785	positive_regulation_of_nuclear_division	0.003%	null	null	3.225	-2.1931	0.708	0.827	GO:0045840	1
Biological_Process	GO:0007588	excretion	0.002%	 0.419	-0.939	3.068	-2.1838	0.888	0.611	GO:0007588	0
Biological_Process	GO:0009240	isopentenyl_diphosphate_biosynthetic_process	0.167%	null	null	4.919	-2.1838	0.783	0.908	GO:0008299	1
Biological_Process	GO:0034367	macromolecular_complex_remodeling	0.001%	-0.351	 0.323	2.775	-2.1838	0.926	0.509	GO:0034367	0
Biological_Process	GO:0046490	isopentenyl_diphosphate_metabolic_process	0.167%	-2.856	 4.077	4.919	-2.1838	0.827	0.606	GO:0046490	0
Biological_Process	GO:1902930	regulation_of_alcohol_biosynthetic_process	0.003%	 5.795	-0.386	3.152	-2.1637	0.756	0.230	GO:1902930	0
Biological_Process	GO:0006727	ommochrome_biosynthetic_process	0.000%	 0.687	 1.783	1.820	-2.1624	0.817	0.377	GO:0006727	0
Biological_Process	GO:0007266	Rho_protein_signal_transduction	0.039%	 4.942	-5.127	4.283	-2.1624	0.794	0.185	GO:0007266	0
Biological_Process	GO:0008055	ocellus_pigment_biosynthetic_process	0.000%	null	null	1.820	-2.1624	0.894	1.000	GO:0006727	1
Biological_Process	GO:0033060	ocellus_pigmentation	0.000%	-1.981	-0.135	1.820	-2.1624	0.945	0.688	GO:0033060	0
Biological_Process	GO:0046152	ommochrome_metabolic_process	0.000%	null	null	1.820	-2.1624	0.848	1.000	GO:0006727	1
Biological_Process	GO:0046158	ocellus_pigment_metabolic_process	0.000%	null	null	1.820	-2.1624	0.929	1.000	GO:0006727	1
Biological_Process	GO:0031032	actomyosin_structure_organization	0.006%	-0.745	 0.242	3.471	-2.1457	0.855	0.492	GO:0031032	0
Biological_Process	GO:0007272	ensheathment_of_neurons	0.007%	null	null	3.515	-2.1421	0.751	0.982	GO:0042552	1
Biological_Process	GO:0008366	axon_ensheathment	0.007%	null	null	3.515	-2.1421	0.751	0.999	GO:0042552	1
Biological_Process	GO:0030217	T_cell_differentiation	0.013%	 0.563	-1.170	3.802	-2.1421	0.789	0.604	GO:0030217	0
Biological_Process	GO:0042304	regulation_of_fatty_acid_biosynthetic_process	0.018%	 5.829	 0.334	3.957	-2.1421	0.725	0.533	GO:0042304	0
Biological_Process	GO:0072657	protein_localization_to_membrane	0.236%	null	null	5.070	-2.1158	0.727	0.880	GO:0015031	1
Biological_Process	GO:1902652	secondary_alcohol_metabolic_process	0.013%	-1.199	 3.176	3.825	-2.0888	0.862	0.528	GO:1902652	0
Biological_Process	GO:0002188	translation_reinitiation	0.000%	 2.204	 1.373	0.602	-2.0883	0.917	0.637	GO:0002188	0
Biological_Process	GO:0007105	cytokinesis,_site_selection	0.000%	-0.722	-0.731	2.179	-2.0883	0.878	0.056	GO:0007105	0
Biological_Process	GO:0008615	pyridoxine_biosynthetic_process	0.102%	-0.161	 6.361	4.706	-2.0883	0.770	0.670	GO:0008615	0
Biological_Process	GO:0009694	jasmonic_acid_metabolic_process	0.002%	-1.115	 2.409	3.063	-2.0883	0.901	0.137	GO:0009694	0
Biological_Process	GO:0031536	positive_regulation_of_exit_from_mitosis	0.000%	null	null	1.898	-2.0883	0.718	0.754	GO:0045840	1
Biological_Process	GO:0035268	protein_mannosylation	0.002%	null	null	3.058	-2.0883	0.860	0.768	GO:0035269	1
Biological_Process	GO:0035269	protein_O-linked_mannosylation	0.002%	 2.455	 4.018	3.053	-2.0883	0.860	0.291	GO:0035269	0
Biological_Process	GO:0043149	stress_fiber_assembly	0.004%	null	null	3.246	-2.0883	0.849	0.723	GO:0031032	1
Biological_Process	GO:0048142	germarium-derived_cystoblast_division	0.000%	null	null	0.602	-2.0883	0.821	0.890	GO:0030727	1
Biological_Process	GO:0048490	anterograde_synaptic_vesicle_transport	0.001%	-3.952	-5.992	2.668	-2.0883	0.822	0.519	GO:0048490	0
Biological_Process	GO:0070893	transposon_integration	0.000%	-0.131	 0.765	0.954	-2.0883	0.911	0.073	GO:0070893	0
Biological_Process	GO:1901562	response_to_paraquat	0.000%	 1.709	-2.761	0.699	-2.0883	0.944	0.000	GO:1901562	0
Biological_Process	GO:1990151	protein_localization_to_cell_tip	0.000%	-4.129	-3.971	0.699	-2.0883	0.901	0.309	GO:1990151	0
Biological_Process	GO:2000767	positive_regulation_of_cytoplasmic_translation	0.000%	 6.660	-2.387	0.699	-2.0883	0.797	0.395	GO:2000767	0
Biological_Process	GO:0000956	nuclear-transcribed_mRNA_catabolic_process	0.013%	null	null	3.814	-2.0405	0.863	0.748	GO:0006401	1
Biological_Process	GO:1902653	secondary_alcohol_biosynthetic_process	0.000%	-1.189	 3.160	1.146	-2.0357	0.860	0.611	GO:1902653	0
Biological_Process	GO:0006518	peptide_metabolic_process	0.323%	-1.098	 4.183	5.206	-2.0255	0.910	0.512	GO:0006518	0
Biological_Process	GO:0051306	mitotic_sister_chromatid_separation	0.009%	null	null	3.663	-2.0241	0.784	0.766	GO:0045840	1
Biological_Process	GO:0017038	protein_import	0.108%	null	null	4.731	-2.0048	0.824	0.733	GO:0015031	1
Biological_Process	GO:0032940	secretion_by_cell	0.618%	null	null	5.487	-1.9965	0.768	0.870	GO:0015031	1
Biological_Process	GO:0046902	regulation_of_mitochondrial_membrane_permeability	0.003%	-0.668	-6.835	3.100	-1.9718	0.694	0.525	GO:0046902	0
Biological_Process	GO:0098662	inorganic_cation_transmembrane_transport	2.309%	null	null	6.060	-1.9574	0.783	0.757	GO:0034220	1
Biological_Process	GO:1903311	regulation_of_mRNA_metabolic_process	0.065%	null	null	4.509	-1.9508	0.777	0.748	GO:0006401	1
Biological_Process	GO:0045948	positive_regulation_of_translational_initiation	0.001%	 7.046	-2.326	2.516	-1.9485	0.764	0.542	GO:0045948	0
Biological_Process	GO:0045927	positive_regulation_of_growth	0.011%	null	null	3.730	-1.9462	0.810	0.791	GO:0040018	1
Biological_Process	GO:0034613	cellular_protein_localization	0.670%	null	null	5.523	-1.9382	0.815	0.969	GO:0015031	1
Biological_Process	GO:0061640	cytoskeleton-dependent_cytokinesis	0.296%	-0.658	-0.628	5.168	-1.9326	0.829	0.631	GO:0061640	0
Biological_Process	GO:0006812	cation_transport	3.981%	null	null	6.297	-1.9245	0.811	0.821	GO:0034220	1
Biological_Process	GO:0046631	alpha-beta_T_cell_activation	0.007%	null	null	3.526	-1.9219	0.877	0.903	GO:0030217	1
Biological_Process	GO:0043043	peptide_biosynthetic_process	0.209%	null	null	5.017	-1.9197	0.879	0.782	GO:0006518	1
Biological_Process	GO:0043604	amide_biosynthetic_process	0.553%	null	null	5.439	-1.9126	0.884	0.852	GO:0006518	1
Biological_Process	GO:0098655	cation_transmembrane_transport	2.858%	null	null	6.153	-1.9080	0.781	0.845	GO:0034220	1
Biological_Process	GO:0032968	positive_regulation_of_transcription_elongation_from_RNA_polymerase_II_promoter	0.002%	 6.199	-0.955	2.984	-1.8857	0.740	0.637	GO:0032968	0
Biological_Process	GO:0006811	ion_transport	5.991%	-5.473	-4.617	6.474	-1.8722	0.818	0.631	GO:0006811	0
Biological_Process	GO:0022618	ribonucleoprotein_complex_assembly	0.107%	-0.236	 0.372	4.728	-1.8551	0.906	0.683	GO:0022618	0
Biological_Process	GO:0045842	positive_regulation_of_mitotic_metaphase/anaphase_transition	0.001%	null	null	2.403	-1.8351	0.700	0.899	GO:0045840	1
Biological_Process	GO:1901970	positive_regulation_of_mitotic_sister_chromatid_separation	0.001%	null	null	2.405	-1.8351	0.702	0.793	GO:0045840	1
Biological_Process	GO:0043933	macromolecular_complex_subunit_organization	1.063%	-0.507	 0.358	5.723	-1.8233	0.909	0.554	GO:0043933	0
Biological_Process	GO:0043603	cellular_amide_metabolic_process	0.910%	-0.629	 2.000	5.656	-1.8176	0.930	0.138	GO:0043603	0
Biological_Process	GO:0000910	cytokinesis	0.367%	null	null	5.261	-1.8122	0.827	0.913	GO:0061640	1
Biological_Process	GO:0015931	nucleobase-containing_compound_transport	0.238%	-5.526	-4.297	5.072	-1.8088	0.881	0.642	GO:0015931	0
Biological_Process	GO:0046165	alcohol_biosynthetic_process	0.040%	null	null	4.298	-1.7997	0.819	0.790	GO:0008615	1
Biological_Process	GO:0042180	cellular_ketone_metabolic_process	0.414%	-1.390	 2.478	5.314	-1.7886	0.878	0.194	GO:0042180	0
Biological_Process	GO:0006413	translational_initiation	0.267%	 4.101	 4.899	5.123	-1.7875	0.874	0.494	GO:0006413	0
Biological_Process	GO:0006695	cholesterol_biosynthetic_process	0.002%	null	null	3.063	-1.7755	0.780	0.884	GO:1902930	1
