%namespace	term_ID	description	frequency	plot_X	plot_Y	plot_size	log10_p-value	uniqueness	dispensability	representative	eliminated
Biological_Process	GO:0043433	negative_regulation_of_sequence-specific_DNA_binding_transcription_factor_activity	0.008%	-2.748	 3.766	3.580	-3.5376	0.807	0.000	GO:0043433	0
Biological_Process	GO:0051152	positive_regulation_of_smooth_muscle_cell_differentiation	0.000%	-6.840	-1.608	2.100	-3.2840	0.699	0.154	GO:0051152	0
Biological_Process	GO:0051090	regulation_of_sequence-specific_DNA_binding_transcription_factor_activity	0.021%	-2.906	 3.796	4.020	-3.1549	0.797	0.529	GO:0051090	0
Biological_Process	GO:0010020	chloroplast_fission	0.001%	-0.560	-5.145	2.494	-2.8125	0.925	0.013	GO:0010020	0
Biological_Process	GO:0043572	plastid_fission	0.001%	 0.186	-2.694	2.526	-2.8125	0.927	0.606	GO:0043572	0
Biological_Process	GO:0051150	regulation_of_smooth_muscle_cell_differentiation	0.001%	null	null	2.700	-2.8125	0.717	0.839	GO:0051152	1
Biological_Process	GO:0009086	methionine_biosynthetic_process	0.337%	 5.252	-4.954	5.225	-2.7721	0.792	0.120	GO:0009086	0
Biological_Process	GO:0051147	regulation_of_muscle_cell_differentiation	0.007%	null	null	3.529	-2.5467	0.697	0.749	GO:0051152	1
Biological_Process	GO:0009092	homoserine_metabolic_process	0.015%	 4.861	-5.314	3.877	-2.5171	0.856	0.417	GO:0009092	0
Biological_Process	GO:0031100	organ_regeneration	0.001%	-7.950	-2.211	2.619	-2.5171	0.730	0.353	GO:0031100	0
Biological_Process	GO:0006555	methionine_metabolic_process	0.356%	null	null	5.248	-2.3595	0.804	0.897	GO:0009086	1
Biological_Process	GO:0097421	liver_regeneration	0.000%	null	null	1.301	-2.2765	0.756	0.745	GO:0031100	1
Biological_Process	GO:0000096	sulfur_amino_acid_metabolic_process	0.604%	null	null	5.478	-2.2434	0.820	0.745	GO:0009086	1
Biological_Process	GO:0043393	regulation_of_protein_binding	0.008%	-3.919	 3.886	3.586	-2.2434	0.862	0.529	GO:0043393	0
Biological_Process	GO:0046777	protein_autophosphorylation	0.022%	 5.134	-0.166	4.038	-2.2358	0.887	0.100	GO:0046777	0
Biological_Process	GO:0000097	sulfur_amino_acid_biosynthetic_process	0.526%	null	null	5.417	-2.2000	0.799	0.933	GO:0009086	1
Biological_Process	GO:0044272	sulfur_compound_biosynthetic_process	1.342%	null	null	5.825	-2.1864	0.881	0.854	GO:0009086	1
Biological_Process	GO:0042981	regulation_of_apoptotic_process	0.129%	-4.122	 2.869	4.806	-2.1403	0.731	0.213	GO:0042981	0
Biological_Process	GO:0035886	vascular_smooth_muscle_cell_differentiation	0.001%	null	null	2.694	-2.1319	0.700	0.889	GO:0051152	1
Biological_Process	GO:0051145	smooth_muscle_cell_differentiation	0.004%	null	null	3.252	-2.1319	0.780	0.850	GO:0051152	1
Biological_Process	GO:0009067	aspartate_family_amino_acid_biosynthetic_process	0.746%	null	null	5.570	-2.1278	0.804	0.891	GO:0009086	1
Biological_Process	GO:0032092	positive_regulation_of_protein_binding	0.003%	null	null	3.199	-2.1278	0.865	0.900	GO:0043393	1
Biological_Process	GO:0042554	superoxide_anion_generation	0.002%	-0.386	 0.805	2.952	-2.0605	0.949	0.028	GO:0042554	0
Biological_Process	GO:0031099	regeneration	0.005%	-7.609	-3.333	3.415	-2.0590	0.820	0.403	GO:0031099	0
Biological_Process	GO:1901342	regulation_of_vasculature_development	0.012%	-7.527	-0.647	3.772	-1.9970	0.634	0.542	GO:1901342	0
Biological_Process	GO:0006790	sulfur_compound_metabolic_process	1.673%	-1.071	 0.636	5.920	-1.9245	0.951	0.042	GO:0006790	0
Biological_Process	GO:0006915	apoptotic_process	0.247%	null	null	5.089	-1.9169	0.816	0.930	GO:0042981	1
