      1 GO:0000018	regulation of DNA recombination
      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0000030	mannosyltransferase activity
      1 GO:0000045	autophagosome assembly
      1 GO:0000064	L-ornithine transmembrane transporter activity
      1 GO:0000077	DNA damage checkpoint
      1 GO:0000082	G1/S transition of mitotic cell cycle
      1 GO:0000099	sulfur amino acid transmembrane transporter activity
      1 GO:0000101	sulfur amino acid transport
      1 GO:0000128	flocculation
      1 GO:0000138	Golgi trans cisterna
      1 GO:0000151	ubiquitin ligase complex
      1 GO:0000165	MAPK cascade
      1 GO:0000186	activation of MAPKK activity
      1 GO:0000226	microtubule cytoskeleton organization
      1 GO:0000271	polysaccharide biosynthetic process
      1 GO:0000280	nuclear division
      1 GO:0000303	response to superoxide
      1 GO:0000305	response to oxygen radical
      1 GO:0000307	cyclin-dependent protein kinase holoenzyme complex
      1 GO:0000325	plant-type vacuole
      1 GO:0000407	phagophore assembly site
      1 GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000460	maturation of 5.8S rRNA
      1 GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000469	cleavage involved in rRNA processing
      1 GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000478	endonucleolytic cleavage involved in rRNA processing
      1 GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000502	proteasome complex
      1 GO:0000724	double-strand break repair via homologous recombination
      1 GO:0000725	recombinational repair
      1 GO:0000731	DNA synthesis involved in DNA repair
      1 GO:0000777	condensed chromosome kinetochore
      1 GO:0000779	condensed chromosome, centromeric region
      1 GO:0000793	condensed chromosome
      1 GO:0000938	GARP complex
      1 GO:0000966	RNA 5'-end processing
      1 GO:0000967	rRNA 5'-end processing
      1 GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
      1 GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
      1 GO:0001046	core promoter sequence-specific DNA binding
      1 GO:0001085	RNA polymerase II transcription factor binding
      1 GO:0001100	negative regulation of exit from mitosis
      1 GO:0001103	RNA polymerase II repressing transcription factor binding
      1 GO:0001306	age-dependent response to oxidative stress
      1 GO:0001315	age-dependent response to reactive oxygen species
      1 GO:0001510	RNA methylation
      1 GO:0001525	angiogenesis
      1 GO:0001568	blood vessel development
      1 GO:0001654	eye development
      1 GO:0001669	acrosomal vesicle
      1 GO:0001676	long-chain fatty acid metabolic process
      1 GO:0001736	establishment of planar polarity
      1 GO:0001737	establishment of imaginal disc-derived wing hair orientation
      1 GO:0001738	morphogenesis of a polarized epithelium
      1 GO:0001745	compound eye morphogenesis
      1 GO:0001775	cell activation
      1 GO:0001817	regulation of cytokine production
      1 GO:0001818	negative regulation of cytokine production
      1 GO:0001819	positive regulation of cytokine production
      1 GO:0001836	release of cytochrome c from mitochondria
      1 GO:0001894	tissue homeostasis
      1 GO:0001906	cell killing
      1 GO:0001933	negative regulation of protein phosphorylation
      1 GO:0001935	endothelial cell proliferation
      1 GO:0001936	regulation of endothelial cell proliferation
      1 GO:0001938	positive regulation of endothelial cell proliferation
      1 GO:0001944	vasculature development
      1 GO:0001976	nervous system process involved in regulation of systemic arterial blood pressure
      1 GO:0002020	protease binding
      1 GO:0002039	p53 binding
      1 GO:0002082	regulation of oxidative phosphorylation
      1 GO:0002097	tRNA wobble base modification
      1 GO:0002098	tRNA wobble uridine modification
      1 GO:0002237	response to molecule of bacterial origin
      1 GO:0002246	wound healing involved in inflammatory response
      1 GO:0002252	immune effector process
      1 GO:0002262	myeloid cell homeostasis
      1 GO:0002263	cell activation involved in immune response
      1 GO:0002274	myeloid leukocyte activation
      1 GO:0002275	myeloid cell activation involved in immune response
