%namespace	term_ID	description	frequency	plot_X	plot_Y	plot_size	log10_p-value	uniqueness	dispensability	representative	eliminated
Biological_Process	GO:0033260	nuclear_cell_cycle_DNA_replication	0.001%	 5.371	-2.048	2.679	-4.5850	0.767	0.000	GO:0033260	0
Biological_Process	GO:0009416	response_to_light_stimulus	0.083%	 0.701	-7.199	4.616	-4.3665	0.861	0.000	GO:0009416	0
Biological_Process	GO:1902969	mitotic_cell_cycle_DNA_replication	0.000%	null	null	1.643	-3.8239	0.782	0.793	GO:0033260	1
Biological_Process	GO:0009314	response_to_radiation	0.092%	null	null	4.659	-3.4949	0.865	0.817	GO:0009416	1
Biological_Process	GO:0019432	triglyceride_biosynthetic_process	0.002%	 2.836	 5.753	3.080	-3.2007	0.801	0.164	GO:0019432	0
Biological_Process	GO:0042455	ribonucleoside_biosynthetic_process	1.646%	 6.573	 2.866	5.913	-2.8297	0.770	0.247	GO:0042455	0
Biological_Process	GO:0050680	negative_regulation_of_epithelial_cell_proliferation	0.008%	-7.162	 0.507	3.574	-2.6946	0.835	0.027	GO:0050680	0
Biological_Process	GO:0006359	regulation_of_transcription_from_RNA_polymerase_III_promoter	0.002%	-1.897	 2.321	3.020	-2.6635	0.795	0.170	GO:0006359	0
Biological_Process	GO:0009628	response_to_abiotic_stimulus	0.312%	 0.494	-7.881	5.190	-2.5243	0.894	0.344	GO:0009628	0
Biological_Process	GO:0032201	telomere_maintenance_via_semi-conservative_replication	0.000%	null	null	1.415	-2.5214	0.690	0.812	GO:0033260	1
Biological_Process	GO:0009163	nucleoside_biosynthetic_process	1.665%	null	null	5.918	-2.4895	0.770	0.978	GO:0042455	1
Biological_Process	GO:0051347	positive_regulation_of_transferase_activity	0.030%	null	null	4.168	-2.3625	0.833	0.791	GO:0033674	1
Biological_Process	GO:0006303	double-strand_break_repair_via_nonhomologous_end_joining	0.013%	 3.286	-5.745	3.805	-2.2933	0.768	0.276	GO:0006303	0
Biological_Process	GO:0006595	polyamine_metabolic_process	0.102%	 5.976	 3.139	4.707	-2.2765	0.870	0.079	GO:0006595	0
Biological_Process	GO:0008616	queuosine_biosynthetic_process	0.208%	null	null	5.014	-2.2765	0.731	0.783	GO:0042455	1
Biological_Process	GO:0010866	regulation_of_triglyceride_biosynthetic_process	0.001%	null	null	2.675	-2.2765	0.733	0.950	GO:0019432	1
