GO.ID	Term	Annotated	Significant	Expected	classic
GO:0045840	positive regulation of mitotic nuclear d...	46	23	9.33	5.7e-06
GO:0062033	positive regulation of mitotic sister ch...	40	20	8.11	2.4e-05
GO:0051785	positive regulation of nuclear division	50	23	10.14	3.3e-05
GO:0071705	nitrogen compound transport	568	151	115.19	3.7e-05
GO:0045842	positive regulation of mitotic metaphase...	35	18	7.1	3.7e-05
GO:1901970	positive regulation of mitotic sister ch...	35	18	7.1	3.7e-05
GO:0051306	mitotic sister chromatid separation	67	28	13.59	4.1e-05
GO:0051984	positive regulation of chromosome segreg...	48	22	9.73	5.2e-05
GO:0006810	transport	945	232	191.65	7.5e-05
GO:0045184	establishment of protein localization	484	130	98.15	9.0e-05
GO:1902101	positive regulation of metaphase/anaphas...	37	18	7.5	9.6e-05
GO:1905820	positive regulation of chromosome separa...	37	18	7.5	9.6e-05
GO:0051234	establishment of localization	981	239	198.95	9.7e-05
GO:0007091	metaphase/anaphase transition of mitotic...	60	25	12.17	0.00011
GO:0030071	regulation of mitotic metaphase/anaphase...	60	25	12.17	0.00011
GO:0009057	macromolecule catabolic process	443	120	89.84	0.00012
GO:0051179	localization	1156	275	234.44	0.00014
GO:0044403	symbiont process	126	43	25.55	0.00015
GO:0071702	organic substance transport	596	154	120.87	0.00016
GO:0010965	regulation of mitotic sister chromatid s...	61	25	12.37	0.00016
GO:0033047	regulation of mitotic sister chromatid s...	75	29	15.21	0.00016
GO:0015031	protein transport	455	122	92.27	0.00017
GO:0044265	cellular macromolecule catabolic process	404	110	81.93	0.00020
GO:0044784	metaphase/anaphase transition of cell cy...	62	25	12.57	0.00021
GO:1902099	regulation of metaphase/anaphase transit...	62	25	12.57	0.00021
GO:0016032	viral process	91	33	18.45	0.00025
GO:0015833	peptide transport	472	125	95.72	0.00025
GO:0042886	amide transport	482	127	97.75	0.00028
GO:0016071	mRNA metabolic process	317	89	64.29	0.00028
GO:1905818	regulation of chromosome separation	63	25	12.78	0.00029
GO:0051983	regulation of chromosome segregation	88	32	17.85	0.00029
GO:0044770	cell cycle phase transition	214	64	43.4	0.00034
GO:0034035	purine ribonucleoside bisphosphate metab...	7	6	1.42	0.00040
