GO.ID	Term	Annotated	Significant	Expected	classic
GO:0006399	tRNA metabolic process	128	56	35.99	8.2e-05
GO:0034660	ncRNA metabolic process	359	132	100.94	9.7e-05
GO:0034470	ncRNA processing	274	103	77.04	0.00024
GO:0043038	amino acid activation	33	19	9.28	0.00035
GO:0043039	tRNA aminoacylation	33	19	9.28	0.00035
GO:0009451	RNA modification	100	44	28.12	0.00041
GO:0006418	tRNA aminoacylation for protein translat...	31	18	8.72	0.00043
GO:0006396	RNA processing	448	156	125.97	0.00050
GO:0033260	nuclear DNA replication	44	23	12.37	0.00057
GO:0006139	nucleobase-containing compound metabolic...	1401	435	393.94	0.00068
GO:0046483	heterocycle metabolic process	1518	467	426.83	0.00092
GO:1902969	mitotic DNA replication	35	19	9.84	0.00094
GO:0042306	regulation of protein import into nucleu...	12	9	3.37	0.00099
GO:0035710	CD4-positive, alpha-beta T cell activati...	5	5	1.41	0.00174
GO:0006725	cellular aromatic compound metabolic pro...	1530	467	430.21	0.00219
GO:0042455	ribonucleoside biosynthetic process	22	13	6.19	0.00222
GO:0034641	cellular nitrogen compound metabolic pro...	1691	512	475.48	0.00231
GO:0000060	protein import into nucleus, translocati...	11	8	3.09	0.00269
GO:0050680	negative regulation of epithelial cell p...	11	8	3.09	0.00269
GO:1901360	organic cyclic compound metabolic proces...	1590	483	447.08	0.00272
GO:0044238	primary metabolic process	2408	708	677.09	0.00276
GO:0006359	regulation of transcription by RNA polym...	9	7	2.53	0.00281
GO:0016070	RNA metabolic process	971	306	273.03	0.00289
GO:0009416	response to light stimulus	166	63	46.68	0.00308
GO:0071704	organic substance metabolic process	2537	742	713.36	0.00312
GO:0090304	nucleic acid metabolic process	1156	359	325.05	0.00321
GO:0051603	proteolysis involved in cellular protein...	242	87	68.05	0.00355
GO:0015893	drug transport	52	24	14.62	0.00395
GO:0032091	negative regulation of protein binding	16	10	4.5	0.00419
GO:1904589	regulation of protein import	16	10	4.5	0.00419
GO:0071559	response to transforming growth factor b...	21	12	5.9	0.00481
GO:0071560	cellular response to transforming growth...	21	12	5.9	0.00481
GO:0009163	nucleoside biosynthetic process	26	14	7.31	0.00488
GO:0043928	exonucleolytic nuclear-transcribed mRNA ...	26	14	7.31	0.00488
GO:1900180	regulation of protein localization to nu...	26	14	7.31	0.00488
GO:0051241	negative regulation of multicellular org...	117	46	32.9	0.00506
GO:0009314	response to radiation	213	77	59.89	0.00509
GO:0030163	protein catabolic process	287	100	80.7	0.00545
GO:0051100	negative regulation of binding	29	15	8.15	0.00591
GO:0002573	myeloid leukocyte differentiation	12	8	3.37	0.00609
GO:0008616	queuosine biosynthetic process	4	4	1.12	0.00622
GO:0043367	CD4-positive, alpha-beta T cell differen...	4	4	1.12	0.00622
GO:0046037	GMP metabolic process	4	4	1.12	0.00622
GO:0046116	queuosine metabolic process	4	4	1.12	0.00622
GO:0097720	calcineurin-mediated signaling	4	4	1.12	0.00622
GO:1902298	cell cycle DNA replication maintenance o...	4	4	1.12	0.00622
GO:1990426	mitotic recombination-dependent replicat...	4	4	1.12	0.00622
GO:1990505	mitotic DNA replication maintenance of f...	4	4	1.12	0.00622
GO:0044257	cellular protein catabolic process	256	90	71.98	0.00627
GO:0043632	modification-dependent macromolecule cat...	231	82	64.95	0.00675
GO:0009116	nucleoside metabolic process	54	24	15.18	0.00710
GO:0046460	neutral lipid biosynthetic process	10	7	2.81	0.00710
GO:0046463	acylglycerol biosynthetic process	10	7	2.81	0.00710
GO:0070534	protein K63-linked ubiquitination	10	7	2.81	0.00710
GO:0045732	positive regulation of protein catabolic...	86	35	24.18	0.00737
GO:0019432	triglyceride biosynthetic process	8	6	2.25	0.00792
GO:0042307	positive regulation of protein import in...	8	6	2.25	0.00792
GO:0051590	positive regulation of neurotransmitter ...	8	6	2.25	0.00792
GO:0002286	T cell activation involved in immune res...	6	5	1.69	0.00802
GO:0045945	positive regulation of transcription by ...	6	5	1.69	0.00802
GO:1904669	ATP export	6	5	1.69	0.00802
GO:2000678	negative regulation of transcription reg...	6	5	1.69	0.00802
GO:0006807	nitrogen compound metabolic process	2316	679	651.22	0.00822
GO:0000462	maturation of SSU-rRNA from tricistronic...	69	29	19.4	0.00844
GO:0008033	tRNA processing	72	30	20.25	0.00861
GO:1901657	glycosyl compound metabolic process	72	30	20.25	0.00861
GO:0010467	gene expression	1148	352	322.8	0.00956
GO:0031297	replication fork processing	15	9	4.22	0.00958
GO:0090316	positive regulation of intracellular pro...	25	13	7.03	0.00967
GO:0001933	negative regulation of protein phosphory...	61	26	17.15	0.00998
GO:0009119	ribonucleoside metabolic process	47	21	13.22	0.01068
GO:1901659	glycosyl compound biosynthetic process	36	17	10.12	0.01100
GO:0006479	protein methylation	79	32	22.21	0.01100
GO:0008213	protein alkylation	79	32	22.21	0.01100
GO:0050678	regulation of epithelial cell proliferat...	23	12	6.47	0.01240
GO:0019941	modification-dependent protein catabolic...	220	77	61.86	0.01257
GO:1904951	positive regulation of establishment of ...	62	26	17.43	0.01271
GO:0018991	oviposition	18	10	5.06	0.01291
GO:0042326	negative regulation of phosphorylation	65	27	18.28	0.01295
GO:0042274	ribosomal small subunit biogenesis	107	41	30.09	0.01299
GO:0015931	nucleobase-containing compound transport	123	46	34.59	0.01439
GO:0006511	ubiquitin-dependent protein catabolic pr...	218	76	61.3	0.01454
