      1 GO:0000001	mitochondrion inheritance
      1 GO:0000002	mitochondrial genome maintenance
      1 GO:0000011	vacuole inheritance
      1 GO:0000014	single-stranded DNA endodeoxyribonuclease activity
      1 GO:0000022	mitotic spindle elongation
      1 GO:0000033	alpha-1,3-mannosyltransferase activity
      1 GO:0000038	very long-chain fatty acid metabolic process
      1 GO:0000048	peptidyltransferase activity
      1 GO:0000056	ribosomal small subunit export from nucleus
      1 GO:0000064	L-ornithine transmembrane transporter activity
      1 GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
      1 GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle
      1 GO:0000098	sulfur amino acid catabolic process
      1 GO:0000104	succinate dehydrogenase activity
      1 GO:0000105	histidine biosynthetic process
      1 GO:0000118	histone deacetylase complex
      1 GO:0000120	RNA polymerase I transcription regulator complex
      1 GO:0000124	SAGA complex
      1 GO:0000125	PCAF complex
      1 GO:0000145	exocyst
      1 GO:0000164	protein phosphatase type 1 complex
      1 GO:0000170	sphingosine hydroxylase activity
      1 GO:0000217	DNA secondary structure binding
      1 GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
      1 GO:0000235	astral microtubule
      1 GO:0000244	spliceosomal tri-snRNP complex assembly
      1 GO:0000268	peroxisome targeting sequence binding
      1 GO:0000294	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
      1 GO:0000296	spermine transport
      1 GO:0000298	endopolyphosphatase activity
      1 GO:0000306	extrinsic component of vacuolar membrane
      1 GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
      1 GO:0000347	THO complex
      1 GO:0000350	generation of catalytic spliceosome for second transesterification step
      1 GO:0000373	Group II intron splicing
      1 GO:0000380	alternative mRNA splicing, via spliceosome
      1 GO:0000386	second spliceosomal transesterification activity
      1 GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
      1 GO:0000395	mRNA 5'-splice site recognition
      1 GO:0000399	cellular bud neck septin structure
      1 GO:0000414	regulation of histone H3-K36 methylation
      1 GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000454	snoRNA guided rRNA pseudouridine synthesis
      1 GO:0000456	obsolete dimethylation involved in SSU-rRNA maturation
      1 GO:0000459	exonucleolytic trimming involved in rRNA processing
      1 GO:0000464	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000491	small nucleolar ribonucleoprotein complex assembly
      1 GO:0000492	box C/D snoRNP assembly
      1 GO:0000500	RNA polymerase I upstream activating factor complex
      1 GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
      1 GO:0000711	meiotic DNA repair synthesis
      1 GO:0000712	resolution of meiotic recombination intermediates
      1 GO:0000717	nucleotide-excision repair, DNA duplex unwinding
      1 GO:0000737	DNA catabolic process, endonucleolytic
      1 GO:0000742	karyogamy involved in conjugation with cellular fusion
      1 GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion
      1 GO:0000754	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
      1 GO:0000774	adenyl-nucleotide exchange factor activity
      1 GO:0000813	ESCRT I complex
      1 GO:0000835	ER ubiquitin ligase complex
      1 GO:0000836	Hrd1p ubiquitin ligase complex
      1 GO:0000837	Doa10p ubiquitin ligase complex
      1 GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
      1 GO:0000900	translation repressor activity, mRNA regulatory element binding
      1 GO:0000903	obsolete regulation of cell shape during vegetative growth phase
      1 GO:0000911	cytokinesis by cell plate formation
      1 GO:0000921	septin ring assembly
      1 GO:0000930	gamma-tubulin complex
      1 GO:0000931	gamma-tubulin large complex
      1 GO:0000939	condensed chromosome inner kinetochore
      1 GO:0000941	condensed nuclear chromosome inner kinetochore
      1 GO:0000964	mitochondrial RNA 5'-end processing
      1 GO:0000965	mitochondrial RNA 3'-end processing
      1 GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
      1 GO:0000973	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
      1 GO:0001091	RNA polymerase II general transcription initiation factor binding
      1 GO:0001094	TFIID-class transcription factor complex binding
      1 GO:0001100	negative regulation of exit from mitosis
      1 GO:0001102	RNA polymerase II activating transcription factor binding
      1 GO:0001103	RNA polymerase II repressing transcription factor binding
      1 GO:0001134	obsolete transcription regulator recruiting activity
      1 GO:0001135	obsolete RNA polymerase II transcription regulator recruiting activity
      1 GO:0001139	RNA polymerase II complex recruiting activity
      1 GO:0001163	RNA polymerase I transcription regulatory region sequence-specific DNA binding
      1 GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding
      1 GO:0001173	DNA-templated transcriptional start site selection
      1 GO:0001174	transcriptional start site selection at RNA polymerase II promoter
      1 GO:0001188	RNA polymerase I preinitiation complex assembly
      1 GO:0001222	transcription corepressor binding
      1 GO:0001223	transcription coactivator binding
      1 GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
      1 GO:0001300	chronological cell aging
      1 GO:0001400	mating projection base
      1 GO:0001401	SAM complex
      1 GO:0001411	hyphal tip
      1 GO:0001504	neurotransmitter uptake
      1 GO:0001530	lipopolysaccharide binding
      1 GO:0001539	cilium or flagellum-dependent cell motility
      1 GO:0001540	amyloid-beta binding
      1 GO:0001556	oocyte maturation
      1 GO:0001560	regulation of cell growth by extracellular stimulus
      1 GO:0001570	vasculogenesis
      1 GO:0001578	microtubule bundle formation
      1 GO:0001651	dense fibrillar component
      1 GO:0001659	temperature homeostasis
      1 GO:0001662	behavioral fear response
      1 GO:0001669	acrosomal vesicle
      1 GO:0001674	female germ cell nucleus
      1 GO:0001675	acrosome assembly
      1 GO:0001702	gastrulation with mouth forming second
      1 GO:0001703	gastrulation with mouth forming first
      1 GO:0001704	formation of primary germ layer
      1 GO:0001707	mesoderm formation
      1 GO:0001708	cell fate specification
      1 GO:0001736	establishment of planar polarity
      1 GO:0001737	establishment of imaginal disc-derived wing hair orientation
      1 GO:0001738	morphogenesis of a polarized epithelium
      1 GO:0001750	photoreceptor outer segment
      1 GO:0001755	neural crest cell migration
      1 GO:0001772	immunological synapse
      1 GO:0001820	serotonin secretion
      1 GO:0001826	inner cell mass cell differentiation
      1 GO:0001831	trophectodermal cellular morphogenesis
      1 GO:0001833	inner cell mass cell proliferation
      1 GO:0001836	release of cytochrome c from mitochondria
      1 GO:0001837	epithelial to mesenchymal transition
      1 GO:0001838	embryonic epithelial tube formation
      1 GO:0001841	neural tube formation
      1 GO:0001843	neural tube closure
      1 GO:0001845	phagolysosome assembly
      1 GO:0001881	receptor recycling
      1 GO:0001887	selenium compound metabolic process
      1 GO:0001890	placenta development
      1 GO:0001894	tissue homeostasis
      1 GO:0001906	cell killing
      1 GO:0001909	leukocyte mediated cytotoxicity
      1 GO:0001910	regulation of leukocyte mediated cytotoxicity
      1 GO:0001912	positive regulation of leukocyte mediated cytotoxicity
      1 GO:0001914	regulation of T cell mediated cytotoxicity
      1 GO:0001916	positive regulation of T cell mediated cytotoxicity
      1 GO:0001917	photoreceptor inner segment
      1 GO:0001927	exocyst assembly
      1 GO:0001936	regulation of endothelial cell proliferation
      1 GO:0001938	positive regulation of endothelial cell proliferation
      1 GO:0001942	hair follicle development
      1 GO:0001952	regulation of cell-matrix adhesion
      1 GO:0001953	negative regulation of cell-matrix adhesion
      1 GO:0001956	positive regulation of neurotransmitter secretion
      1 GO:0002028	regulation of sodium ion transport
      1 GO:0002029	desensitization of G protein-coupled receptor signaling pathway
      1 GO:0002031	G protein-coupled receptor internalization
      1 GO:0002089	lens morphogenesis in camera-type eye
      1 GO:0002090	regulation of receptor internalization
      1 GO:0002092	positive regulation of receptor internalization
      1 GO:0002100	tRNA wobble adenosine to inosine editing
      1 GO:0002109	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)
      1 GO:0002151	G-quadruplex RNA binding
      1 GO:0002161	aminoacyl-tRNA editing activity
      1 GO:0002177	manchette
      1 GO:0002190	cap-independent translational initiation
      1 GO:0002192	IRES-dependent translational initiation of linear mRNA
      1 GO:0002199	zona pellucida receptor complex
      1 GO:0002209	behavioral defense response
      1 GO:0002213	defense response to insect
      1 GO:0002228	natural killer cell mediated immunity
      1 GO:0002239	response to oomycetes
      1 GO:0002250	adaptive immune response
      1 GO:0002286	T cell activation involved in immune response
      1 GO:0002309	T cell proliferation involved in immune response
      1 GO:0002323	natural killer cell activation involved in immune response
      1 GO:0002431	Fc receptor mediated stimulatory signaling pathway
      1 GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
      1 GO:0002437	inflammatory response to antigenic stimulus
      1 GO:0002439	chronic inflammatory response to antigenic stimulus
      1 GO:0002456	T cell mediated immunity
      1 GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
      1 GO:0002475	antigen processing and presentation via MHC class Ib
      1 GO:0002526	acute inflammatory response
      1 GO:0002544	chronic inflammatory response
      1 GO:0002573	myeloid leukocyte differentiation
      1 GO:0002576	platelet degranulation
      1 GO:0002577	regulation of antigen processing and presentation
      1 GO:0002578	negative regulation of antigen processing and presentation
      1 GO:0002583	regulation of antigen processing and presentation of peptide antigen
      1 GO:0002584	negative regulation of antigen processing and presentation of peptide antigen
      1 GO:0002589	regulation of antigen processing and presentation of peptide antigen via MHC class I
      1 GO:0002590	negative regulation of antigen processing and presentation of peptide antigen via MHC class I
      1 GO:0002685	regulation of leukocyte migration
      1 GO:0002686	negative regulation of leukocyte migration
      1 GO:0002695	negative regulation of leukocyte activation
      1 GO:0002698	negative regulation of immune effector process
      1 GO:0002700	regulation of production of molecular mediator of immune response
      1 GO:0002701	negative regulation of production of molecular mediator of immune response
      1 GO:0002704	negative regulation of leukocyte mediated immunity
      1 GO:0002705	positive regulation of leukocyte mediated immunity
      1 GO:0002707	negative regulation of lymphocyte mediated immunity
      1 GO:0002708	positive regulation of lymphocyte mediated immunity
      1 GO:0002710	negative regulation of T cell mediated immunity
      1 GO:0002711	positive regulation of T cell mediated immunity
      1 GO:0002718	regulation of cytokine production involved in immune response
      1 GO:0002719	negative regulation of cytokine production involved in immune response
      1 GO:0002724	regulation of T cell cytokine production
      1 GO:0002725	negative regulation of T cell cytokine production
      1 GO:0002820	negative regulation of adaptive immune response
      1 GO:0002821	positive regulation of adaptive immune response
      1 GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
      1 GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
      1 GO:0002832	negative regulation of response to biotic stimulus
      1 GO:0002861	regulation of inflammatory response to antigenic stimulus
      1 GO:0002862	negative regulation of inflammatory response to antigenic stimulus
      1 GO:0003012	muscle system process
      1 GO:0003014	renal system process
      1 GO:0003015	heart process
      1 GO:0003018	vascular process in circulatory system
      1 GO:0003091	renal water homeostasis
      1 GO:0003151	outflow tract morphogenesis
      1 GO:0003170	heart valve development
      1 GO:0003179	heart valve morphogenesis
      1 GO:0003206	cardiac chamber morphogenesis
      1 GO:0003241	growth involved in heart morphogenesis
      1 GO:0003245	cardiac muscle tissue growth involved in heart morphogenesis
      1 GO:0003247	post-embryonic cardiac muscle cell growth involved in heart morphogenesis
      1 GO:0003352	regulation of cilium movement
      1 GO:0003356	regulation of cilium beat frequency
      1 GO:0003381	epithelial cell morphogenesis involved in gastrulation
      1 GO:0003383	apical constriction
