      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0000049	tRNA binding
      1 GO:0000054	ribosomal subunit export from nucleus
      1 GO:0000055	ribosomal large subunit export from nucleus
      1 GO:0000064	L-ornithine transmembrane transporter activity
      1 GO:0000070	mitotic sister chromatid segregation
      1 GO:0000075	cell cycle checkpoint
      1 GO:0000086	G2/M transition of mitotic cell cycle
      1 GO:0000099	sulfur amino acid transmembrane transporter activity
      1 GO:0000101	sulfur amino acid transport
      1 GO:0000128	flocculation
      1 GO:0000138	Golgi trans cisterna
      1 GO:0000153	cytoplasmic ubiquitin ligase complex
      1 GO:0000162	tryptophan biosynthetic process
      1 GO:0000165	MAPK cascade
      1 GO:0000186	activation of MAPKK activity
      1 GO:0000266	mitochondrial fission
      1 GO:0000271	polysaccharide biosynthetic process
      1 GO:0000272	polysaccharide catabolic process
      1 GO:0000280	nuclear division
      1 GO:0000281	mitotic cytokinesis
      1 GO:0000282	cellular bud site selection
      1 GO:0000287	magnesium ion binding
      1 GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
      1 GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
      1 GO:0000303	response to superoxide
      1 GO:0000305	response to oxygen radical
      1 GO:0000307	cyclin-dependent protein kinase holoenzyme complex
      1 GO:0000325	plant-type vacuole
      1 GO:0000329	fungal-type vacuole membrane
      1 GO:0000372	Group I intron splicing
      1 GO:0000373	Group II intron splicing
      1 GO:0000376	RNA splicing, via transesterification reactions with guanosine as nucleophile
      1 GO:0000398	mRNA splicing, via spliceosome
      1 GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
      1 GO:0000502	proteasome complex
      1 GO:0000731	DNA synthesis involved in DNA repair
      1 GO:0000777	condensed chromosome kinetochore
      1 GO:0000778	condensed nuclear chromosome kinetochore
      1 GO:0000779	condensed chromosome, centromeric region
      1 GO:0000780	condensed nuclear chromosome, centromeric region
      1 GO:0000781	chromosome, telomeric region
      1 GO:0000793	condensed chromosome
      1 GO:0000794	condensed nuclear chromosome
      1 GO:0000796	condensin complex
      1 GO:0000797	condensin core heterodimer
      1 GO:0000799	nuclear condensin complex
      1 GO:0000819	sister chromatid segregation
      1 GO:0000835	ER ubiquitin ligase complex
      1 GO:0000836	Hrd1p ubiquitin ligase complex
      1 GO:0000837	Doa10p ubiquitin ligase complex
      1 GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
      1 GO:0000910	cytokinesis
      1 GO:0000920	septum digestion after cytokinesis
      1 GO:0000932	P-body
      1 GO:0000959	mitochondrial RNA metabolic process
      1 GO:0000963	mitochondrial RNA processing
      1 GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
      1 GO:0001046	core promoter sequence-specific DNA binding
      1 GO:0001085	RNA polymerase II transcription factor binding
      1 GO:0001100	negative regulation of exit from mitosis
      1 GO:0001103	RNA polymerase II repressing transcription factor binding
      1 GO:0001306	age-dependent response to oxidative stress
      1 GO:0001315	age-dependent response to reactive oxygen species
      1 GO:0001501	skeletal system development
      1 GO:0001514	selenocysteine incorporation
      1 GO:0001525	angiogenesis
      1 GO:0001568	blood vessel development
      1 GO:0001654	eye development
      1 GO:0001669	acrosomal vesicle
      1 GO:0001676	long-chain fatty acid metabolic process
      1 GO:0001775	cell activation
      1 GO:0001836	release of cytochrome c from mitochondria
      1 GO:0001882	nucleoside binding
      1 GO:0001883	purine nucleoside binding
      1 GO:0001891	phagocytic cup
      1 GO:0001894	tissue homeostasis
      1 GO:0001906	cell killing
      1 GO:0001935	endothelial cell proliferation
      1 GO:0001936	regulation of endothelial cell proliferation
      1 GO:0001938	positive regulation of endothelial cell proliferation
      1 GO:0001944	vasculature development
      1 GO:0001976	nervous system process involved in regulation of systemic arterial blood pressure
      1 GO:0002021	response to dietary excess
      1 GO:0002024	diet induced thermogenesis
      1 GO:0002039	p53 binding
      1 GO:0002237	response to molecule of bacterial origin
      1 GO:0002246	wound healing involved in inflammatory response
      1 GO:0002252	immune effector process
      1 GO:0002262	myeloid cell homeostasis
      1 GO:0002263	cell activation involved in immune response
      1 GO:0002274	myeloid leukocyte activation
      1 GO:0002275	myeloid cell activation involved in immune response
      1 GO:0002283	neutrophil activation involved in immune response
      1 GO:0002366	leukocyte activation involved in immune response
      1 GO:0002443	leukocyte mediated immunity
      1 GO:0002444	myeloid leukocyte mediated immunity
      1 GO:0002446	neutrophil mediated immunity
      1 GO:0002520	immune system development
      1 GO:0002685	regulation of leukocyte migration
      1 GO:0002686	negative regulation of leukocyte migration
      1 GO:0002694	regulation of leukocyte activation
      1 GO:0002695	negative regulation of leukocyte activation
      1 GO:0002699	positive regulation of immune effector process
      1 GO:0002700	regulation of production of molecular mediator of immune response
      1 GO:0002701	negative regulation of production of molecular mediator of immune response
      1 GO:0002703	regulation of leukocyte mediated immunity
      1 GO:0002704	negative regulation of leukocyte mediated immunity
      1 GO:0002718	regulation of cytokine production involved in immune response
      1 GO:0002719	negative regulation of cytokine production involved in immune response
      1 GO:0002791	regulation of peptide secretion
      1 GO:0002793	positive regulation of peptide secretion
      1 GO:0002831	regulation of response to biotic stimulus
      1 GO:0002832	negative regulation of response to biotic stimulus
      1 GO:0002886	regulation of myeloid leukocyte mediated immunity
      1 GO:0002887	negative regulation of myeloid leukocyte mediated immunity
      1 GO:0003002	regionalization
      1 GO:0003007	heart morphogenesis
      1 GO:0003032	detection of oxygen
      1 GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal
      1 GO:0003068	regulation of systemic arterial blood pressure by acetylcholine
      1 GO:0003069	acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure
      1 GO:0003070	regulation of systemic arterial blood pressure by neurotransmitter
      1 GO:0003073	regulation of systemic arterial blood pressure
      1 GO:0003085	negative regulation of systemic arterial blood pressure
      1 GO:0003299	muscle hypertrophy in response to stress
      1 GO:0003300	cardiac muscle hypertrophy
      1 GO:0003341	cilium movement
      1 GO:0003351	epithelial cilium movement involved in extracellular fluid movement
      1 GO:0003373	dynamin family protein polymerization involved in membrane fission
      1 GO:0003374	dynamin family protein polymerization involved in mitochondrial fission
      1 GO:0003713	transcription coactivator activity
      1 GO:0003724	RNA helicase activity
      1 GO:0003725	double-stranded RNA binding
      1 GO:0003727	single-stranded RNA binding
      1 GO:0003756	protein disulfide isomerase activity
      1 GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
      1 GO:0003924	GTPase activity
      1 GO:0003962	cystathionine gamma-synthase activity
      1 GO:0003978	UDP-glucose 4-epimerase activity
      1 GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
