Sm_g00000001	adenylate/guanylate cyclase domain-containing protein	ASE
Sm_g00000002	vesicle-fusing ATPase	BAE
Sm_g00000003	predicted protein	?
Sm_g00000004	predicted protein	?
Sm_g00000005	crossover junction endonuclease Mus81	BAE
Sm_g00000006	Sel1-like repeat family protein	?
Sm_g00000007	Sel1-like repeat family protein	?
Sm_g00000008	nonaspanin family protein	BAE
Sm_g00000009	predicted protein	?
Sm_g00000010	predicted protein	?
Sm_g00000011	predicted protein	?
Sm_g00000012	leucine-rich repeat protein	?
Sm_g00000013	chitinase, chloroplastic	?
Sm_g00000015	uric acid degradation bifunctional protein TTL	?
Sm_g00000016	predicted protein	?
Sm_g00000017	predicted protein	?
Sm_g00000018	predicted protein	?
Sm_g00000019	predicted protein	?
Sm_g00000020	predicted protein	BAE
Sm_g00000021	predicted protein	?
Sm_g00000022	Rossmann-fold NAD(P)-binding domain-containing protein, chloroplastic	?
Sm_g00000023	predicted protein	?
Sm_g00000024	predicted protein	?
Sm_g00000025	aspartate-ammonia ligase, chloroplastic	ASE
Sm_g00000026	predicted protein	ASE
Sm_g00000027	predicted protein	?
Sm_g00000028	Sel1-like repeat family protein	?
Sm_g00000029	Sel1-like repeat family protein	?
Sm_g00000030	predicted protein	?
Sm_g00000031	TAPT1 family protein	ASE
Sm_g00000032	predicted protein	?
Sm_g00000033	predicted protein	ASE
Sm_g00000034	predicted protein	?
Sm_g00000035	predicted protein	?
Sm_g00000036	predicted protein	?
Sm_g00000037	predicted protein	ASE
Sm_g00000038	MAP3K-like serine/threonine kinase	?
Sm_g00000039	popeye family protein	?
Sm_g00000040	predicted protein, chloroplastic	?
Sm_g00000041	predicted protein	?
Sm_g00000042	predicted protein	?
Sm_g00000043	pyruvate carboxylase, mitochondrial	?
Sm_g00000044	aconitate hydratase B	?
Sm_g00000045	predicted protein	?
Sm_g00000046	aconitate hydratase B, mitochondrial	?
Sm_g00000047	predicted protein, mitochondrial	?
Sm_g00000048	predicted protein	?
Sm_g00000049	predicted protein	?
Sm_g00000050	predicted protein	MAE
Sm_g00000051	chitinase	BAE
Sm_g00000052	predicted protein, chloroplastic	?
Sm_g00000053	predicted protein	?
Sm_g00000054	predicted protein	BAE
Sm_g00000055	MFS transporter	MAE
Sm_g00000056	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	ASE
Sm_g00000057	predicted protein, partial	BAE
Sm_g00000058	predicted protein, partial	ASE
Sm_g00000059	glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	ASE
Sm_g00000060	eukaryotic translation initiation factor 3 subunit C	ASE
Sm_g00000061	60S ribosomal protein L10	BAE
Sm_g00000063	methyltransferase, chloroplastic	?
Sm_g00000064	serine/threonine-protein kinase	ASE
Sm_g00000065	Yip1 family protein	BAE
Sm_g00000066	40S ribosomal protein S19	ASE
Sm_g00000067	predicted protein	?
Sm_g00000068	predicted protein	BAE
Sm_g00000069	digalactosyldiacylglycerol synthase	BAE
Sm_g00000070	predicted protein	?
Sm_g00000071	S-adenosylmethionine decarboxylase	ASE
Sm_g00000072	predicted protein	?
Sm_g00000073	protein-serine/threonine phosphatase, PP2C family	ASE
Sm_g00000074	ubiquitin carboxyl-terminal hydrolase	?
Sm_g00000075	D-3-phosphoglycerate dehydrogenase, mitochondrial	ASE
Sm_g00000076	predicted protein	ASE
Sm_g00000077	predicted protein	BAE
Sm_g00000078	predicted protein	BAE
Sm_g00000079	endoplasmic reticulum oxidoreductin 1-related protein	ASE
Sm_g00000080	predicted protein	ASE
Sm_g00000081	trypsin-like serine protease	BAE
Sm_g00000082	predicted protein	?
Sm_g00000083	predicted protein	?
Sm_g00000084	allantoicase	?
Sm_g00000085	predicted AAA ATPase	ASE
Sm_g00000086	predicted protein	ASE
Sm_g00000087	SEC14 family lipid-binding protein	MAE
Sm_g00000088	predicted protein	ASE
Sm_g00000089	helicase-associated domain-containing protein	?
Sm_g00000091	CTD small phosphatase-like protein 2	BAE
Sm_g00000092	thioredoxin-disulfide reductase	ASE
Sm_g00000093	EF-hand motif-containing protein	?
Sm_g00000094	predicted protein	ASE
Sm_g00000095	predicted AAA ATPase	ASE
Sm_g00000096	ZIP family zinc transporter	BAE
Sm_g00000097	ABC1 kinase family protein	ASE
Sm_g00000098	26S proteasome regulatory subunit p27	ASE
Sm_g00000099	predicted protein, chloroplastic	ASE
Sm_g00000100	predicted protein	ASE
Sm_g00000101	kinesin family protein	?
Sm_g00000103	predicted protein	BAE
Sm_g00000104	SART1 family protein	ASE
Sm_g00000105	predicted protein	ASE
Sm_g00000106	predicted protein	ASE
Sm_g00000107	heat shock factor family protein	BAE
Sm_g00000108	predicted protein	MAE
Sm_g00000109	polynucleotide 5'-hydroxyl-kinase NOL9	?
Sm_g00000110	predicted protein	ASE
Sm_g00000111	predicted protein	ASE
Sm_g00000112	predicted protein	?
Sm_g00000113	alpha/beta hydrolase family protein, chloroplastic	?
Sm_g00000114	predicted protein	?
Sm_g00000115	WD40 repeat domain-containing protein	?
Sm_g00000116	gamma tubulin complex component	?
Sm_g00000117	predicted protein	ASE
Sm_g00000118	predicted protein	BAE
Sm_g00000119	cyclin-dependent kinase	BAE
Sm_g00000120	predicted protein	?
Sm_g00000121	predicted protein	ASE
Sm_g00000122	aspartic peptidase, DDI1 family	?
Sm_g00000123	predicted protein, chloroplastic	?
Sm_g00000124	predicted protein	?
Sm_g00000125	predicted protein	?
Sm_g00000126	macrocin O-methyltransferase family protein	?
Sm_g00000127	predicted protein	BAE
Sm_g00000128	predicted protein	?
Sm_g00000129	clustered mitochondria protein	ASE
Sm_g00000130	DnaJ domain-containing protein	ASE
Sm_g00000131	histone H2A	BAE
Sm_g00000133	predicted protein	ASE
Sm_g00000134	predicted protein	BAE
Sm_g00000135	predicted protein	BAE
Sm_g00000136	RING finger protein	?
Sm_g00000137	membrane protein	ASE
Sm_g00000138	tetratricopeptide repeat protein	?
Sm_g00000139	pyridoxamine 5'-phosphate oxidase family protein, mitochondrial	BAE
Sm_g00000140	histidine phosphatase family protein	ASE
